original_folder,name,method
"Bildauswahl Recycling","Bildauswahl Recycling",proper_case
"Bilder Art Aurea","Bilder Art Aurea",proper_case
"Bilder Auswahl Dillenkofer","Bilder Auswahl Dillenkofer",proper_case
"Bilder Corvaja","Bilder Corvaja",proper_case
"Bilder Danner-Stiftung","Bilder Danner Stiftung",proper_case
"Bilder Grassimesse","Bilder Grassimesse",proper_case
"Bilder Grassimesse 2013","Bilder Grassimesse",proper_case
"Bilder Grassipreistraeger","Bilder Grassipreistraeger",proper_case
"Bilder Grundmann","Bilder Grundmann",proper_case
"Bilder Halle","Bilder Halle",proper_case
"Bilder Herbert Hofmann-Preise","Bilder Herbert Hofmann",proper_case
"Bilder Inhalt","Bilder Inhalt",proper_case
"Bilder Inhalt Titel 5","Bilder Inhalt Titel",proper_case
"Bilder Joppien","Bilder Joppien",proper_case
"Bilder Künzli","Bilder Künzli",proper_case
"Bilder Pippin Drysdale","Bilder Pippin Drysdale",proper_case
"Bilder Solothurn","Bilder Solothurn",proper_case
"Bilder Suedtirol","Bilder Suedtirol",proper_case
"BILDER_SELECTION","Bilder Selection",underscore_upper
"Bildmaterial Furore","Bildmaterial Furore",proper_case
"Bildmaterial-Aussteller-2012","Bildmaterial Aussteller",proper_case
"Billa Reitzner 9","Billa Reitzner",proper_case
"Billa Reitzner Material","Billa Reitzner Material",proper_case
"Binder Michaela","Binder Michaela",proper_case
"Birgit Hasse 1:6","Birgit Hasse",proper_case
"Birgit Wortmann 1:6","Birgit Wortmann",proper_case
"Birgitta Aßhauer 1:6","Birgitta Aßhauer",proper_case
"Birgitta Schulz","Birgitta Schulz",proper_case
"Birmingham-Clara Jackson","Birmingham Clara Jackson",proper_case
"Birmingham–Andrew Markou","Andrew Markou",proper_case
"Birmingham–Sarah Jones","Sarah Jones",proper_case
"BKV Junges Kunsthandwerk 1 Seite","Junges Kunsthandwerk",proper_case
"Black Potters Kopie 4","Black Potters Kopie",proper_case
"Bleiker Esther","Bleiker Esther",proper_case
"Blog Texte","Blog Texte",proper_case
"Bohus Stickning 2 S","Bohus Stickning",proper_case
"Bonhams Silver 1 Seite","Bonhams Silver",proper_case
"Bosnische Näherinnen","Bosnische Näherinnen",proper_case
"Bott Bilder","Bott Bilder",proper_case
"Bott Stills","Bott Stills",proper_case
"Box of Loose Hammers |Web rez","Loose Hammers",proper_case
"Branca-Möbel","Branca Möbel",proper_case
"Brand New","Brand New",proper_case
"Breaded Escalope","Breaded Escalope",proper_case
"Brigitte Adolph","Brigitte Adolph",proper_case
"Brigitte Adolph Bilder","Brigitte Adolph Bilder",proper_case
"Brigitte Adolph Bilder1","Brigitte Adolph",proper_case
"Brigitte Kunz","Brigitte Kunz",proper_case
"Brigitte Kunz Dosen","Brigitte Kunz Dosen",proper_case
"Brigitte Moser 1:6","Brigitte Moser",proper_case
"Brigitte Speth","Brigitte Speth",proper_case
"Brunner Doris","Brunner Doris",proper_case
"Brunner Petzold Degenhard 2 S","Brunner Petzold Degenhard",proper_case
"Bruno Martinazzi 6 S","Bruno Martinazzi",proper_case
"Bruno Pedrosa","Bruno Pedrosa",proper_case
"Brutto Gusto","Brutto Gusto",proper_case
"Brutto Gusto 2","Brutto Gusto",proper_case
"Buch - Shimokawa 2","Buch Shimokawa",proper_case
"Bunte Zwerge","Bunte Zwerge",proper_case
"Burg Giebichenstein","Burg Giebichenstein",proper_case
"Burg Giebichenstein Glas","Burg Giebichenstein Glas",proper_case
"Burg Giebichenstein Silber","Burg Giebichenstein Silber",proper_case
"Burg Giebichenstein Textil","Burg Giebichenstein Textil",proper_case
"Bushaltehäuschen Krumbach","Bushaltehäuschen Krumbach",proper_case
"Cafe Grundmann","Cafe Grundmann",proper_case
"Cafe Obermaier","Cafe Obermaier",proper_case
"Camille Jacobs","Camille Jacobs",proper_case
"Campbell-Rey","Campbell Rey",proper_case
"Carat-Erin Gardner","Carat Erin Gardner",proper_case
"Carl Dau","Carl Dau",proper_case
"Carl Dau da","Carl Dau",proper_case
"Carl Dau Reichtum im Wenigen","Carl Dau Reichtum",proper_case
"Carl Kleiner","Carl Kleiner",proper_case
"Carole Guinard 1:6","Carole Guinard",proper_case
"Carolina Wilcke","Carolina Wilcke",proper_case
"Catherin Grigull","Catherin Grigull",proper_case
"Cattin Sophie","Cattin Sophie",proper_case
"Cést pas mon genre! Frauendesign Frankreich Mak","Frauendesign Frankreich Mak",proper_case
"Charlotte Perriand","Charlotte Perriand",proper_case
"Chiara Scarpitti 1 Seite","Chiara Scarpitti",proper_case
"Chinese Whispers 2 S","Chinese Whispers",proper_case
"Chitsaz-Shoshtary","Chitsaz Shoshtary",proper_case
"Chris Slutter","Chris Slutter",proper_case
"Christiane Iken","Christiane Iken",proper_case
"Christiane Wichert","Christiane Wichert",proper_case
"Christiane Wichert 1:6","Christiane Wichert",proper_case
"Christiane Wilhelm 1:6","Christiane Wilhelm",proper_case
"Christie's Barry Friedman","Barry Friedman",proper_case
"Christien Meindertsma - A single sample Really - 2017","Christien Meindertsma",proper_case
"Christina Leitner","Christina Leitner",proper_case
"Christine Matthias 1:6","Christine Matthias",proper_case
"CHRISTINE WAGNER","Christine Wagner",upper_space
"Christine Weiss","Christine Weiss",proper_case
"Christja Tritschler","Christja Tritschler",proper_case
"Christof Lungwitz","Christof Lungwitz",proper_case
"Christof Lungwitz 2:3","Christof Lungwitz",proper_case
"Christoph Finkel","Christoph Finkel",proper_case
"Christoph Finkel, Holz","Christoph Finkel",proper_case
"Christoph Flück 1:6","Christoph Flück",proper_case
"Christoph Leuner","Christoph Leuner",proper_case
"Christoph Weisshaar","Christoph Weisshaar",proper_case
"Christopher Kurtz","Christopher Kurtz",proper_case
"Clarissa Weinbeer","Clarissa Weinbeer",proper_case
"Claude Champy","Claude Champy",proper_case
"Claude Champy 8","Claude Champy",proper_case
"Claudia Biehne","Claudia Biehne",proper_case
"Claudia Biehne 1:2","Claudia Biehne",proper_case
"Claudia Biehne 2:3","Claudia Biehne",proper_case
"Claudia Caviezel","Claudia Caviezel",proper_case
"Claudia Geiger 1:3","Claudia Geiger",proper_case
"Claudia Hoppe","Claudia Hoppe",proper_case
"Claudia Hoppe 1:3","Claudia Hoppe",proper_case
"Claudia Milic","Claudia Milic",proper_case
"Claudia Neuburger 1:6","Claudia Neuburger",proper_case
"Claudia Rinneberg","Claudia Rinneberg",proper_case
"Claudia Rinneberg 1:2","Claudia Rinneberg",proper_case
"Claudia Schmedding","Claudia Schmedding",proper_case
"Claudia Schömig 4","Claudia Schömig",proper_case
"Claudia Steiner","Claudia Steiner",proper_case
"Claudia Steiner 1:6","Claudia Steiner",proper_case
"Claudia Westhaus 1:6","Claudia Westhaus",proper_case
"Claudy Jongstra","Claudy Jongstra",proper_case
"Claus Bury","Claus Bury",proper_case
"Claus Bury 12 S","Claus Bury",proper_case
"Claus Bury alt","Claus Bury",proper_case
"Coburger Glaspreis 1 Seite","Coburger Glaspreis",proper_case
"Cologne Fine Art - bessere Bilder anfordern","Cologne Fine Art",proper_case
"Cominelli Preis","Cominelli Preis",proper_case
"Consuelo Keller 2 S","Consuelo Keller",proper_case
"Contemporary Crafts Brutto gusto","Contemporary Crafts Brutto",proper_case
"Contrast Gallery Hongkong","Contrast Gallery Hongkong",proper_case
"Corinna Heller","Corinna Heller",proper_case
"Corinna Heller da","Corinna Heller",proper_case
"Corinne Kohli 1:6","Corinne Kohli",proper_case
"Cornelia Faisst","Cornelia Faisst",proper_case
"Cornelius Réer","Cornelius Réer",proper_case
"Cornelius Réer211","Cornelius Ré",proper_case
"Corvaja Material","Corvaja Material",proper_case
"Cosmomusivo-Mosaik","Cosmomusivo Mosaik",proper_case
"CRAFTkontor, Frau Portsteffen","Frau Portsteffen",proper_case
"Creative Corners","Creative Corners",proper_case
"CREATIVITY AND CRAFTSMANSHIP","Creativity And Craftsmanship",upper_space
"CRISTIAN MARIANCIUC","Cristian Marianciuc",upper_space
"Cristina Grajales","Cristina Grajales",proper_case
"Curators Einleitung 1","Curators Einleitung",proper_case
"Dagmar Christina Gerke - Herstellung","Dagmar Christina Gerke",proper_case
"Dagmar Christina Gerke - Porträts","Dagmar Christina Gerke",proper_case
"Dagmar Christina Gerke - Studiobilder","Dagmar Christina Gerke",proper_case
"Dagmar Christina Gerke, Glas","Dagmar Christina Gerke",proper_case
"Dagmar Lübke 1:6","Dagmar Lübke",proper_case
"Dagmar Stühler","Dagmar Stühler",proper_case
"Dagmar Stühler 2","Dagmar Stühler",proper_case
"Dail Behennah","Dail Behennah",proper_case
"Daniel Heer","Daniel Heer",proper_case
"Daniel Mayer","Daniel Mayer",proper_case
"Danner Preis","Danner Preis",proper_case
"Danner-Preis 1:2 Seite","Danner Preis",proper_case
"Danner-Preis 2023","Danner Preis",proper_case
"Danner-Preise","Danner Preise",proper_case
"Danni Schwaag","Danni Schwaag",proper_case
"Das Grassi","Das Grassi",proper_case
"Das Haus - Bestand","Das Haus Bestand",proper_case
"Das Haus - Geschichte","Das Haus Geschichte",proper_case
"Das Schiff","Das Schiff",proper_case
"DAU LOGO","Dau Logo",upper_space
"DE_INTUITIEFABRIEK_EXCAVATIONS","De Intuitiefabriek Excavations",underscore_upper
"Deloss Webber","Deloss Webber",proper_case
"Demokratischer Schmuck","Demokratischer Schmuck",proper_case
"Design Drift","Design Drift",proper_case
"Design Februar 2010","Design Februar",proper_case
"Design Miami","Design Miami",proper_case
"Design Miami 2011","Design Miami",proper_case
"Design Miami:Basel","Design Miami",proper_case
"Design Preis Schweiz","Design Preis Schweiz",proper_case
"Design-Börse Berlin","Design Börse Berlin",proper_case
"Designfoerderung Schweiz","Designfoerderung Schweiz",proper_case
"Designhauptstadt Helsinki","Designhauptstadt Helsinki",proper_case
"Designpreise Schweiz","Designpreise Schweiz",proper_case
"Designuhren Nicht verwendet","Designuhren Nicht",proper_case
"Deutsche Teilnehmer","Deutsche Teilnehmer",proper_case
"Deutschland Martina Dempf","Deutschland Martina Dempf",proper_case
"DfC X JNJ Curated Circularity Designed for Infinity","Curated Circularity Designed",proper_case
"Dialog Schmuck 2010","Dialog Schmuck",proper_case
"Die Kleider der Maria 2 S","Die Kleider",proper_case
"Die Sehnsucht nach dem Einfachen","Die Sehnsucht",proper_case
"Diessener Toepferm. 2018-Anzeige ART AUREA","Diessener Toepferm",proper_case
"Diessener Toepferm. 2022 Anzeige ART AUREA","Diessener Toepferm",proper_case
"Diessener Toepferm. 2022 Anzeige-ART AUREA-","Diessener Toepferm",proper_case
"Diessener Toepferm. 2023-Anzeige-ArtAurea","Diessener Toepferm",proper_case
"Diessener Töpfermarkt","Diessener Töpfermarkt",proper_case
"Diessener Töpfermarkt 1:2","Diessener Töpfermarkt",proper_case
"Diessener Töpfermarkt 2 S","Diessener Töpfermarkt",proper_case
"DIMITRI SHABALIN","Dimitri Shabalin",upper_space
"Dimitrii Volkov 1:6","Dimitrii Volkov",proper_case
"Domingos Tótora","Domingos Tótora",proper_case
"Dominique Labordery","Dominique Labordery",proper_case
"Domus Aurea 1","Domus Aurea",proper_case
"Doris Bank 2S","Doris Bank",proper_case
"Dorit Schuhmacher Strickwerkstatt","Dorit Schuhmacher Strickwerkstatt",proper_case
"Dorotea Kempko","Dorotea Kempko",proper_case
"Dorothea Brill","Dorothea Brill",proper_case
"Dorothea Brill  1:6","Dorothea Brill",proper_case
"Dorothea Brill (halbe Seite)","Dorothea Brill",proper_case
"Dorothea Brill 1:3","Dorothea Brill",proper_case
"Dorothea Brill 1:6","Dorothea Brill",proper_case
"Dorothea Förster 10","Dorothea Förster",proper_case
"Dorothea Förster für Art Aurea","Dorothea Förster",proper_case
"Dorothea Muszynski","Dorothea Muszynski",proper_case
"Dorothea Prühl","Dorothea Prühl",proper_case
"Dorothea Schippel","Dorothea Schippel",proper_case
"Dorothée Loustalot","Dorothée Loustalot",proper_case
"Dorothee Wenz -Curators' Choice","Dorothee Wenz Curators",proper_case
"Dr Fi N Juli 2013","Dr Fi",proper_case
"Dr Fi V Oktober 13","Dr Fi",proper_case
"Dr. Fischer Heilbronn","Fischer Heilbronn",proper_case
"Düsseldorf-Maria Haake","Düsseldorf Maria Haake",proper_case
"Düsseldorf-Phylicia Gilijamse","Düsseldorf Phylicia Gilijamse",proper_case
"Dusto Design Italien","Dusto Design Italien",proper_case
"Earthen Beauty 8 S","Earthen Beauty",proper_case
"Ebeling Kuhls 2015","Ebeling Kuhls",proper_case
"Eggenschwiler Silja","Eggenschwiler Silja",proper_case
"Eiair (Hassakorn Hirunsirichoke","Hassakorn Hirunsirichoke",proper_case
"Eidgenössischer Preis für Design","Eidgenössischer Preis",proper_case
"Eigenanzeige Abowerbung","Eigenanzeige Abowerbung",proper_case
"Einbandkunst-Lobisch+Jüngere Generation 7+3 Seiten","Einbandkunst Lobisch",proper_case
"Eindhoven-Makiko Shinoda","Eindhoven Makiko Shinoda",proper_case
"El Dorado","El Dorado",proper_case
"Elena Sicilianie","Elena Sicilianie",proper_case
"Elgin Fischer + C.Hoppe","Elgin Fischer",proper_case
"Elgin Fischer 1:6","Elgin Fischer",proper_case
"Eligius-Preis","Eligius Preis",proper_case
"Elina Titane aus Lettland","Elina Titane",proper_case
"Elisabeth Müller-Quade_1:6","Elisabeth Müller",proper_case
"Elisabeth Reichinger","Elisabeth Reichinger",proper_case
"Eliza Au aus den USA_Texas","Eliza Au",proper_case
"Elke Hirsch 1:6","Elke Hirsch",proper_case
"Elke Pfleiderer 1:6","Elke Pfleiderer",proper_case
"Elke Sada","Elke Sada",proper_case
"Elke Sada 1","Elke Sada",proper_case
"Elstner Material","Elstner Material",proper_case
"Emmanuel Heringer","Emmanuel Heringer",proper_case
"ENDGÜLTIGE BILDE","Endgültige Bilde",upper_space
"Englisch Translations","Englisch Translations",proper_case
"Erdal Ates aus der Türkei","Erdal Ates",proper_case
"Eres Nevi Pana Designer","Eres Nevi Pana",proper_case
"Erez-Nevi-Pana-High-res","Erez Nevi Pana",proper_case
"Erfolge Gestalten II","Erfolge Gestalten",proper_case
"Erfurt Schmucksymposium 2019","Erfurt Schmucksymposium",proper_case
"Eric Mertens 2","Eric Mertens",proper_case
"Erich Zimmermann","Erich Zimmermann",proper_case
"Erich Zimmermann 2","Erich Zimmermann",proper_case
"Erika Fankhauser","Erika Fankhauser",proper_case
"Erika Fankhauser Schürch","Erika Fankhauser Schürch",proper_case
"Erin Gardner","Erin Gardner",proper_case
"Esther Brinkmann 8 Seiten","Esther Brinkmann",proper_case
"Eunique Gewinner","Eunique Gewinner",proper_case
"Eunique Karlsruhe","Eunique Karlsruhe",proper_case
"Eunique-Blogs","Eunique Blogs",proper_case
"Eva Holz","Eva Holz",proper_case
"Eva Maisch","Eva Maisch",proper_case
"Eva Maisch _Highres","Eva Maisch",proper_case
"Eva Maisch 1 Seite","Eva Maisch",proper_case
"Eva Maisch 1:1","Eva Maisch",proper_case
"Eva Maisch 4 S","Eva Maisch",proper_case
"Eva Slotta","Eva Slotta",proper_case
"Eva Strepp","Eva Strepp",proper_case
"Eva Strepp 1:2","Eva Strepp",proper_case
"Eva Strepp 1:3","Eva Strepp",proper_case
"Evert Nijland","Evert Nijland",proper_case
"Evi Kienast","Evi Kienast",proper_case
"EXHIBITION IMAGES","Exhibition Images",upper_space
"Expo Schmidhuber","Expo Schmidhuber",proper_case
"Fabricio Tridenti","Fabricio Tridenti",proper_case
"Falko Marx S","Falko Marx",proper_case
"Falten Reiche","Falten Reiche",proper_case
"Fang Jingfeng & Dong Mi","Fang Jingfeng",proper_case
"Fashion Day","Fashion Day",proper_case
"FASHION INSIDE OUT","Fashion Inside Out",upper_space
"Fehlende Bilder","Fehlende Bilder",proper_case
"Felder Metall","Felder Metall",proper_case
"Felicia Mülbaier","Felicia Mülbaier",proper_case
"Ferran Iglesias","Ferran Iglesias",proper_case
"Fertige Designbeiträge","Fertige Designbeiträge",proper_case
"Fertige Stücke für Sonderdruck","Fertige Stücke",proper_case
"FF DIN","Ff Din",upper_space
"Fili Plaza 1:6","Fili Plaza",proper_case
"Filorosso-Material","Filorosso Material",proper_case
"FINALISTS GROUP ASSETS","Finalists Group Assets",upper_space
"FINALISTS PRESS NOTE","Finalists Press Note",upper_space
"FIONA BENNETT","Fiona Bennett",upper_space
"Fiona Losinger 1:6","Fiona Losinger",proper_case
"Florentine Design Petra Mohr","Florentine Design Petra",proper_case
"Florenz Nadege Roscoe-Rumjahn","Florenz Nadege Roscoe",proper_case
"Florenz-Satita Rojpojjanarat","Florenz Satita Rojpojjanarat",proper_case
"Florenz-Selen Özus","Florenz Selen Özus",proper_case
"Florian Wagner","Florian Wagner",proper_case
"Flück Christoph","Flück Christoph",proper_case
"Fondation Bruckn Material","Fondation Bruckn Material",proper_case
"Fondation Bruckner","Fondation Bruckner",proper_case
"Fontana - Fontana","Fontana Fontana",proper_case
"Fonts Oliver Schmidt","Fonts Oliver Schmidt",proper_case
"Form Forum","Form Forum",proper_case
"Form Forum 2 Seiten","Form Forum",proper_case
"Form Forum Showroom","Form Forum Showroom",proper_case
"Formforum Schweiz : Designgut 2","Formforum Schweiz",proper_case
"Forum für Zeitgenössiche Keramik","Zeitgenössiche Keramik",proper_case
"Foto Offizine Saffi alta","Foto Offizine Saffi",proper_case
"Fotoporträt Heinz Baumann","Fotoporträt Heinz Baumann",proper_case
"Fotos - Auswahl","Fotos Auswahl",proper_case
"Fotos Angla hübel","Fotos Angla",proper_case
"Fotos Auswahl","Fotos Auswahl",proper_case
"Fotos Beispiele","Fotos Beispiele",proper_case
"Fotos Bernardo","Fotos Bernardo",proper_case
"Fotos Florenz","Fotos Florenz",proper_case
"Fotos Frankfurt","Fotos Frankfurt",proper_case
"Fotos Fulle","Fotos Fulle",proper_case
"FOTOS hi res Marc Monzo","Marc Monzo",proper_case
"Fotos Niessing Bouton","Fotos Niessing Bouton",proper_case
"Fotos roh Teereportage Wählen","Teereportage Wählen",proper_case
"Fotostrecke ""In Schönheit altern""","In Schönheit",proper_case
"Fotostrecke Arts und Crafts in Berlin 14","Fotostrecke Arts",proper_case
"Fotostrecke Barcelona","Fotostrecke Barcelona",proper_case
"Fotostrecke Erlebnisorte 12 Seiten","Fotostrecke Erlebnisorte",proper_case
"Fotostrecke Grigoleit 14 Seiten","Fotostrecke Grigoleit",proper_case
"Fotostrecke Halle H","Fotostrecke Halle",proper_case
"Fotostrecke Leipzig","Fotostrecke Leipzig",proper_case
"Fotostrecke Paris 10 Seiten","Fotostrecke Paris",proper_case
"Fotostrecke Schweiz","Fotostrecke Schweiz",proper_case
"Fotostrecke Südtirol","Fotostrecke Südtirol",proper_case
"Fragen Angebot showroom","Fragen Angebot",proper_case
"Francesca Gabrielli","Francesca Gabrielli",proper_case
"Francesco Pavan 12 S","Francesco Pavan",proper_case
"FRANCESCO RAIMONDI","Francesco Raimondi",upper_space
"Franceso Pavan","Franceso Pavan",proper_case
"Francoise van den Bosch Foundation","Bosch Foundation",proper_case
"Frank Bruggeman 11","Frank Bruggeman",proper_case
"Franziska Bauza","Franziska Bauza",proper_case
"Franziska Rappold","Franziska Rappold",proper_case
"Franziska Rappold 1:3","Franziska Rappold",proper_case
"Franziska Vogler 1:6","Franziska Vogler",proper_case
"Frauke Alber","Frauke Alber",proper_case
"Frechener Ceramion-Preis","Frechener Ceramion Preis",proper_case
"Fredrik Nielsen","Fredrik Nielsen",proper_case
"Frieda Dörfer","Frieda Dörfer",proper_case
"Friederike Rohse 1:3","Friederike Rohse",proper_case
"Friedmann Buehler","Friedmann Buehler",proper_case
"Friedrich Becker","Friedrich Becker",proper_case
"Friedrich Becker Preis 2S","Friedrich Becker Preis",proper_case
"Friesacher-Borst, Helen","Friesacher Borst",proper_case
"Fritz Baumer 2 S","Fritz Baumer",proper_case
"Frühchinesische Keramik","Frühchinesische Keramik",proper_case
"Futura Condensed 1","Futura Condensed",proper_case
"Futura Condensed 2","Futura Condensed",proper_case
"Future Places","Future Places",proper_case
"Gabi Veit","Gabi Veit",proper_case
"Gabriele Hain","Gabriele Hain",proper_case
"Gabriele Heinz 1:6","Gabriele Heinz",proper_case
"Galerie Biró","Galerie Bir",proper_case
"Galerie Chastel-Maréchal","Galerie Chastel Maréchal",proper_case
"Galerie Dansk Moebelkunst","Galerie Dansk Moebelkunst",proper_case
"Galerie Fink Waldkirchen","Galerie Fink Waldkirchen",proper_case
"Galerie für Angewandte Kunst BKV","Angewandte Kunst",proper_case
"Galerie Göttlicher","Galerie Göttlicher",proper_case
"Galerie Grosche","Galerie Grosche",proper_case
"Galerie Grosche–10.6.","Galerie Grosche",proper_case
"Galerie Handwerk","Galerie Handwerk",proper_case
"Galerie Handwerk 2 S","Galerie Handwerk",proper_case
"Galerie Handwerk In Form gegossen","Galerie Handwerk In",proper_case
"Galerie Handwerk, Frau Hügel","Galerie Handwerk",proper_case
"Galerie Heller","Galerie Heller",proper_case
"Galerie Heller – Beauty of Materials","Galerie Heller",proper_case
"Galerie Heller 1 Seite","Galerie Heller",proper_case
"Galerie Jaeger","Galerie Jaeger",proper_case
"Galerie Jaeger Bildauswahl","Galerie Jaeger Bildauswahl",proper_case
"Galerie Jäger","Galerie Jäger",proper_case
"Galerie Jäger 1:1","Galerie Jäger",proper_case
"Galerie Kreo","Galerie Kreo",proper_case
"Galerie Metzger 2","Galerie Metzger",proper_case
"Galerie Rosemarie Jäger","Galerie Rosemarie Jäger",proper_case
"Galerie Rosenberg 1 Seite","Galerie Rosenberg",proper_case
"Galerie Scheytt Catherine Martin","Galerie Scheytt Catherine",proper_case
"Galerie Soluna","Galerie Soluna",proper_case
"Galerie Spandow","Galerie Spandow",proper_case
"Galerie Spandow 1:2 Seite","Galerie Spandow",proper_case
"Gallery Owners Irving and Miriam van Dijk","Gallery Owners Irving",proper_case
"Ganzoni Moritz","Ganzoni Moritz",proper_case
"Garn Spinner","Garn Spinner",proper_case
"Gästehaus Kloster","Gästehaus Kloster",proper_case
"Gastland Korea","Gastland Korea",proper_case
"Gastland Tschechien","Gastland Tschechien",proper_case
"Gefaeße u Skulpturen Keramik im Grassi","Skulpturen Keramik",proper_case
"Gefäße Objekte Schmuck","Gefäße Objekte Schmuck",proper_case
"Genta Ishizuka","Genta Ishizuka",proper_case
"Gental Ishikuza","Gental Ishikuza",proper_case
"Georg Dobler Bildauswahl","Georg Dobler Bildauswahl",proper_case
"Georg Spreng","Georg Spreng",proper_case
"Georg Spreng 1:6","Georg Spreng",proper_case
"Gerd Rothmann 8","Gerd Rothmann",proper_case
"Gero Wortmann","Gero Wortmann",proper_case
"Gerullis-Seliger","Gerullis Seliger",proper_case
"Gerullis-Seliger 1:2","Gerullis Seliger",proper_case
"Gerullis-Seliger 1:3","Gerullis Seliger",proper_case
"Gesine Hackenberg 1 Seite","Gesine Hackenberg",proper_case
"Gestine Dölle 1:6","Gestine Dölle",proper_case
"Gewerbemuseum Winterthur 10 Seiten","Gewerbemuseum Winterthur",proper_case
"Ghita Moonen 1:6","Ghita Moonen",proper_case
"Giampaolo Babetto","Giampaolo Babetto",proper_case
"Gigi Mariani","Gigi Mariani",proper_case
"Gijs Bakker","Gijs Bakker",proper_case
"Giovanni Corvaja","Giovanni Corvaja",proper_case
"GIOVANNI CORVAJA","Giovanni Corvaja",upper_space
"Gisela Kulling 1:2","Gisela Kulling",proper_case
"Gisela Seibert-Philippen 1:4","Gisela Seibert Philippen",proper_case
"Giselheid Herder","Giselheid Herder",proper_case
"Give Love Back 1 Seite","Give Love Back",proper_case
"Glasmalerei Naumburg 6 s","Glasmalerei Naumburg",proper_case
"Glass in Czech Jewelry _photos_descr_text","Czech Jewelry",proper_case
"Global Game Jam Plovdiv","Global Game Jam",proper_case
"Gold Promotions","Gold Promotions",proper_case
"Gold- und Silberschmiede Th. Blume","Silberschmiede Th",proper_case
"Goldener Ehrenring","Goldener Ehrenring",proper_case
"Goldmiss Design","Goldmiss Design",proper_case
"Goldschmiede Hermann 2","Goldschmiede Hermann",proper_case
"Goldschmiedeschule-Berufskolleg 1:3","Goldschmiedeschule Berufskolleg",proper_case
"Goldstadt Pforzheim","Goldstadt Pforzheim",proper_case
"Gorcums Museum","Gorcums Museum",proper_case
"Grassi-Bilder 2011","Grassi Bilder",proper_case
"Grassifenster Bildauswahl","Grassifenster Bildauswahl",proper_case
"Grassimesse Bilder 2013","Grassimesse Bilder",proper_case
"GRASSIMESSE_2012_SL","Grassimesse Sl",underscore_upper
"Grassimesse-Heft","Grassimesse Heft",proper_case
"Grassimesse-Katalog","Grassimesse Katalog",proper_case
"Große Rechnungen","Große Rechnungen",proper_case
"Gsell-Negri","Gsell Negri",proper_case
"Guido Geelen","Guido Geelen",proper_case
"Günter Krauss","Günter Krauss",proper_case
"Gustav Weiss 2","Gustav Weiss",proper_case
"Gustavo Perez S","Gustavo Perez",proper_case
"H1 Freitag Taschen Jeans 10 S","Freitag Taschen Jeans",proper_case
"H3 Gerhard Schütze 6 S","Gerhard Schütze",proper_case
"H4 Nel Linssen 6 S","Nel Linssen",proper_case
"H6 Klaus Lehmann 8 S","Klaus Lehmann",proper_case
"H7 Loyal Exports nach Benin 12 S","Loyal Exports",proper_case
"Halle-Martina Singerova","Halle Martina Singerova",proper_case
"Hamburg Porträts","Hamburg Porträts",proper_case
"Hanauer Stadtgoldschmied 1","Hanauer Stadtgoldschmied",proper_case
"Handwerk & Design Talente","Design Talente",proper_case
"Handwerk&Design Exempla Glaskunst","Design Exempla Glaskunst",proper_case
"Handwerk&Design Meister der Moderne","Design Meister",proper_case
"Handwerk&Design Schmuck","Design Schmuck",proper_case
"Handwerksform Hannover, Wilp","Handwerksform Hannover",proper_case
"Hanna Otto","Hanna Otto",proper_case
"Hanne Bay Lührssen","Hanne Bay Lührssen",proper_case
"Hanne Bay-Lührssen","Hanne Bay Lührssen",proper_case
"Hanne-Friis-Curators'-Choice","Hanne Friis Curators",proper_case
"Hans Hansen Fotostrecke Einfach","Hans Hansen Fotostrecke",proper_case
"Hans Kotter","Hans Kotter",proper_case
"Hans-Peter Jochum","Hans Peter Jochum",proper_case
"Hansel Tai","Hansel Tai",proper_case
"Harry Morgan","Harry Morgan",proper_case
"Hartel, Ann-Kathrin","Ann Kathrin",proper_case
"Hauert Bruna","Hauert Bruna",proper_case
"Hayley Beckley 1:6","Hayley Beckley",proper_case
"Hedwig Bollhagen 1:6","Hedwig Bollhagen",proper_case
"Heeseung Koh","Heeseung Koh",proper_case
"Heger - Hatzius Fotos","Heger Hatzius Fotos",proper_case
"Heide Nonnenmacher","Heide Nonnenmacher",proper_case
"Heide Nonnenmacher 1:6","Heide Nonnenmacher",proper_case
"Heidemarie Herb","Heidemarie Herb",proper_case
"Heidi Bereiter-Hahn 1:6","Heidi Bereiter Hahn",proper_case
"Heike Buchfelder - Exhibitor","Heike Buchfelder Exhibitor",proper_case
"Heike Thamm 1:6","Heike Thamm",proper_case
"Heike Walk","Heike Walk",proper_case
"Helen Britton","Helen Britton",proper_case
"Helen Britton Bilder","Helen Britton Bilder",proper_case
"Heller Earthen Beauty","Heller Earthen Beauty",proper_case
"Heller Finland 4 S","Heller Finland",proper_case
"Henar Iglesias","Henar Iglesias",proper_case
"Hendrik Schink 1:6","Hendrik Schink",proper_case
"Herbert Hofmann Preise","Herbert Hofmann Preise",proper_case
"Herbert-Hofmann Schmuck","Herbert Hofmann Schmuck",proper_case
"Herbert-Hofmann-Preis 1:2","Herbert Hofmann Preis",proper_case
"Herbert-Hofmann-Preis 2","Herbert Hofmann Preis",proper_case
"Herbert-Hofmann-Preis 2 S","Herbert Hofmann Preis",proper_case
"Herbert-Hofmann-Preis 2024 2 S","Herbert Hofmann Preis",proper_case
"Herbert-Hofmann-Preise 1 Seite","Herbert Hofmann Preise",proper_case
