Artwork Name,Creator,Total Images,Small Images,Percentage,Slug,Artwork ID
"Trash","Emquies Holstein",2,2,100%,"emquies-holstein-trash-broche-silver","5Nnn2PqcEKG4dqRP9jC0b4"
"Trash","Emquies Holstein",2,2,100%,"emquies-holstein-trash-ring-silver","5Nnn2PqcEKG4dqRP9jC0fi"
"Treasure Island","Emquies Holstein",2,2,100%,"emquies-holstein-treasure-island-ring-18kt-gold","5Nnn2PqcEKG4dqRP9jC0kM"
"Treasure Island","Emquies Holstein",2,2,100%,"emquies-holstein-treasure-island-earrings-18kt-gold","5Nnn2PqcEKG4dqRP9jC0p0"
"Treasure Island","Emquies Holstein",2,2,100%,"emquis-holstein-treasure-island-earstuds-18kt-gold","5Nnn2PqcEKG4dqRP9jC0te"
"Flügelschlag","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-fluegelschlag-brosche","5Nnn2PqcEKG4dqRP9jC47O"
"Lakaien","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-lakaien-objekte","5Nnn2PqcEKG4dqRP9jC3oo"
"Luftstrom","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-ringe","5Nnn2PqcEKG4dqRP9jC4C2"
"Physis","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-physis-brosche","5Nnn2PqcEKG4dqRP9jC3tS"
"Rideau","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-rideau-anhaenger","5Nnn2PqcEKG4dqRP9jC3fW"
"Schild","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-schild-brosche","5Nnn2PqcEKG4dqRP9jC3y6"
"Spiegel","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-spiegel-brosche","5Nnn2PqcEKG4dqRP9jC3as"
"Vom Auffinden","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-vom-auffinden-anhaenger","5Nnn2PqcEKG4dqRP9jC42k"
"Vom letzten Winter","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-vom-letzten-winter","5Nnn2PqcEKG4dqRP9jC1wg"
"aus der Zeit gewebt","Felicia Mülbaier",2,2,100%,"felicia-muelbaier-aus-der-zeit-gewebt","5Nnn2PqcEKG4dqRP9jC3kA"
"Cylinder Magnet","Fine Light",2,2,100%,"fine-light-04-cylinder-magnet-bracelet","hEWOpVV05Nk2Wkv6vKs1O3"
"Cylinder Magnet Bracelet","Fine Light",2,2,100%,"fine-light-09-cylinder-magnet-bracelet","hEWOpVV05Nk2Wkv6vKs1fT"
"Hair","Fine Light",2,2,100%,"fine-light-05-hair-necklace","hEWOpVV05Nk2Wkv6vKs1Wl"
"Knot Anklet","Fine Light",2,2,100%,"fine-light-12-knot-anklet","hEWOpVV05Nk2Wkv6vKs1sX"
"Knot Necklace","Fine Light",2,2,100%,"fine-light-06-knot-necklace","hEWOpVV05Nk2Wkv6vKs1SP"
"Single Cuff","Fine Light",2,2,100%,"fine-light-03b-single-cuff","hEWOpVV05Nk2Wkv6vKs1FL"
"Thick Cuffs","Fine Light",2,2,100%,"fine-light-03a-thick-cuffs-worn-night","hEWOpVV05Nk2Wkv6vKs25b"
"Formfeld 1","Formfeld",2,2,100%,"formfeld-ff1-eiche-hell-3-120x83","hEWOpVV05Nk2Wkv6vKs47t"
"Formfeld 1","Formfeld",2,2,100%,"formfeld-ff1-eiche-hell-closeup1","hEWOpVV05Nk2Wkv6vKs4CF"
"Formfeld 1","Formfeld",2,2,100%,"formfeld-ff1-eiche-schwarz1","hEWOpVV05Nk2Wkv6vKs4Gb"
"Formfeld 1","Formfeld",2,2,100%,"formfeld-ff1-mdf-schwarz1-120x83","hEWOpVV05Nk2Wkv6vKs4Tf"
"Brooch","Georg Dobler",2,2,100%,"georg-dobler-brosche-abstrakt","5Nnn2PqcEKG4dqRP9jBtd4"
"Brooch","Georg Dobler",2,2,100%,"georg-dobler-brosche-dunkel","5Nnn2PqcEKG4dqRP9jBthi"
"Brooch","Georg Dobler",2,2,100%,"georg-dobler-brosche-gelb","5Nnn2PqcEKG4dqRP9jBtmM"
"Brooch","Georg Dobler",2,2,100%,"georg-dobler-brosche-orange","5Nnn2PqcEKG4dqRP9jBtr0"
"Brooch","Georg Dobler",2,2,100%,"georg-dobler-brosche","5Nnn2PqcEKG4dqRP9jBtve"
"Cracks","Gigi Mariani",2,2,100%,"gigi-mariani-bracelet-cracks-silver18kt-yellow-goldniello-2012","hEWOpVV05Nk2Wkv6vKsVAV"
"Glass","Gigi Mariani",2,2,100%,"gigi-mariani-glass-ring-silver18kt-yellow-goldniellopatinaglass","hEWOpVV05Nk2Wkv6vKsV1n"
"In a breath","Gigi Mariani",2,2,100%,"gigi-mariani-in-a-breath-ring-silver-niellopatina","hEWOpVV05Nk2Wkv6vKsUxR"
"Moments","Gigi Mariani",2,2,100%,"gigi-mariani-moments-bracelet-silver-18kt-yellow-gold-niello-patina","hEWOpVV05Nk2Wkv6vKsVJD"
"Parallel Worlds","Gigi Mariani",2,2,100%,"gigi-mariani-parallel-worlds-ring-silver-18kt-yellow-gold-niello-patina","hEWOpVV05Nk2Wkv6vKsVNZ"
"Solitaire","Gigi Mariani",2,2,100%,"gigi-mariani-solitaire-necklace-silver18kt-red-goldniello-patina","hEWOpVV05Nk2Wkv6vKsVEr"
"Orto Botanico II","Heide Nonnenmacher",2,2,100%,"orto-bbotanico-ii","5Nnn2PqcEKG4dqRP9jCyJG"
"ZeitRaum","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-zeitraum-51x48x37cm-foto-doris-leuschner","5Nnn2PqcEKG4dqRP9jCvpy"
"ZeitRaum","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-zeitraum-52cm-58-cm-foto-ignacio-iturrioz","5Nnn2PqcEKG4dqRP9jCvzG"
"ZeitRaum","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-zeitraum-58cm-foto-ignacio-iturrioz","5Nnn2PqcEKG4dqRP9jCw3u"
"fractal","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-keramiken-fractal","5Nnn2PqcEKG4dqRP9jCvuc"
"shell","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-objekt-keramik-shell-porzellan-l-24-b-8cm-h-75-cm-2015-photo-te-hsin-chiu","5Nnn2PqcEKG4dqRP9jCy9y"
"under the sea","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-keramik-under-the-sea","5Nnn2PqcEKG4dqRP9jCw8Y"
"under the sea","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-under-the-sea-gefaerbt-keramik","5Nnn2PqcEKG4dqRP9jCwHq"
"under the sea","Heide Nonnenmacher",2,2,100%,"heide-nonnenmacher-keramik-under-the-sea-gefaerbt","5Nnn2PqcEKG4dqRP9jCwMU"
"Aurum","Hirsch – Woodenheart",2,2,100%,"hirsch-wooden-heart-aurum-1","hEWOpVV05Nk2Wkv6vKsIjh"
"Pure","Hirsch – Woodenheart",2,2,100%,"hirsch-wooden-heart-pure1","hEWOpVV05Nk2Wkv6vKsGd3"
"Color Mini Cups","In Hwa Lee",2,2,100%,"in-hwa-lee-shadowed-color-mini-cup-various-sizes-white-porcelain-wheel-throwing-1280c-oxidation-firing-polishing-2013","5Nnn2PqcEKG4dqRP9jCTtK"
"Shadowed Color Bowl","In Hwa Lee",2,2,100%,"in-hwa-lee-shadowed-color-bowl-series-white-porcelain-color-clay-opaque-clay-wheel-throwing-1280-degrees-reduction-firing-polishing-various-sizes-2014","5Nnn2PqcEKG4dqRP9jCTog"
"Stethoscope","Iris Merkle",2,2,100%,"iris-merkle-transfer-no3-01","5Nnn2PqcEKG4dqRP9jCcQs"
"Stethoscope","Iris Merkle",2,2,100%,"iris-merkle-transfer-no3-detail-01","5Nnn2PqcEKG4dqRP9jCcVW"
"Stethoscope","Iris Merkle",2,2,100%,"iris-merkle-stethoscope-no3-01","hEWOpVV05Nk2Wkv6vKsVad"
"Stethoscope","Iris Merkle",2,2,100%,"iris-merkle-transfer-no3-02","hEWOpVV05Nk2Wkv6vKsVnh"
"Transfer 02","Iris Merkle",2,2,100%,"iris-merkle-transfer-no2-02","hEWOpVV05Nk2Wkv6vKsVez"
"Transfer 02","Iris Merkle",2,2,100%,"iris-merkle-transfer-no2-01","hEWOpVV05Nk2Wkv6vKsVjL"
"Untitled","Iris Merkle",2,2,100%,"iris-merkle-transfusion-no1-07-2","5Nnn2PqcEKG4dqRP9jCcaA"
"Bizenkaki","Isezaki Jun",2,2,100%,"isezaki-jun-bizenkaki-gefaess","MnHq3gipaho0Iv07wmzzib"
"Hanaike (bird)","Isezaki Jun",2,2,100%,"isezaki-jun-hanaike-gefaess","MnHq3gipaho0Iv07wmzzng"
"Hidasukihanaike","Isezaki Jun",2,2,100%,"isezaki-jun-hidasukihanaike-objekt","MnHq3gipaho0Iv07wmzzsl"
"Kurokakuhanaike","Isezaki Jun",2,2,100%,"isezaki-jun-kurokakuhanaike-gefaess","MnHq3gipaho0Iv07wn002v"
"Mimitukihanaike","Isezaki Jun",2,2,100%,"isezaki-jun-mimitukihanaike-gefaess","MnHq3gipaho0Iv07wn0080"
"Becherhand","JaKyung Shin",2,2,100%,"jakyung-shin-becherhand-silber-tableware","MnHq3gipaho0Iv07wmzvro"
"Becherhand","JaKyung Shin",2,2,100%,"jakyung-shin-becherhand-silber-tableware-jakyung-shin-wmzwlh","MnHq3gipaho0Iv07wmzwlh"
"Bowl n handle","JaKyung Shin",2,2,100%,"jakyung-shin-bowl-n-handle-silber-tableware","MnHq3gipaho0Iv07wmzvwt"
"Bowl n handle","JaKyung Shin",2,2,100%,"jakyung-shin-bowl-n-handle-silver-tableware","MnHq3gipaho0Iv07wmzw1y"
"Bowl n handle","JaKyung Shin",2,2,100%,"jakyung-shin-bowl-n-handle-silber-tableware-jakyung-shin-wmzwqm","MnHq3gipaho0Iv07wmzwqm"
"Bowl n handle","JaKyung Shin",2,2,100%,"jakyung-shin-bowl-n-handle-silver-tableware-jakyung-shin-wmzwvr","MnHq3gipaho0Iv07wmzwvr"
"Cup dragged","JaKyung Shin",2,2,100%,"jakyung-shin-skizze-cup-dragged-silber-tableware","MnHq3gipaho0Iv07wmzw73"
"Cup dragged","JaKyung Shin",2,2,100%,"jakyung-shin-cup-dragged-silver-tableware","MnHq3gipaho0Iv07wmzwC8"
"Cup dragged","JaKyung Shin",2,2,100%,"jakyung-shin-skizze-cup-dragged-silber-tableware-jakyung-shin-wmzx0w","MnHq3gipaho0Iv07wmzx0w"
"Cup dragged","JaKyung Shin",2,2,100%,"jakyung-shin-cup-dragged-silver-tableware-jakyung-shin-wmzx61","MnHq3gipaho0Iv07wmzx61"
"Finger lickin","JaKyung Shin",2,2,100%,"jakyung-shin-finger-lickin-spoons-silver-tableware","MnHq3gipaho0Iv07wmzwHD"
"Finger lickin´ spoons","JaKyung Shin",2,2,100%,"jakyung-shin-finger-lickin-spoons-silver-tableware-jakyung-shin-wmzxB6","MnHq3gipaho0Iv07wmzxB6"
"Golden candle drops","JaKyung Shin",2,2,100%,"jakyung-shin-golden-candle-drops-silver-tableware","5Nnn2PqcEKG4dqRP9jCDPO"
"Golden candle drops","JaKyung Shin",2,2,100%,"jakyung-shin-golden-candle-drops-silver-tableware-jakyung-shin-wmzwMI","MnHq3gipaho0Iv07wmzwMI"
"Reunion Black","JaKyung Shin",2,2,100%,"jakyung-shin-reunion-schwarz-silver-tableware-jakyung-shin-wmzwWS","MnHq3gipaho0Iv07wmzwWS"
"Reunion Black II","JaKyung Shin",2,2,100%,"jakyung-shin-reunion-schwarz-ii-silver-tableware-jakyung-shin-wmzwRN","MnHq3gipaho0Iv07wmzwRN"
"Reunion Schwarz","JaKyung Shin",2,2,100%,"jakyung-shin-reunion-schwarz-ii-silver-tableware","5Nnn2PqcEKG4dqRP9jCDU2"
"Reunion Schwarz II","JaKyung Shin",2,2,100%,"jakyung-shin-reunion-schwarz-silver-tableware","5Nnn2PqcEKG4dqRP9jCDYg"
"Standalone","JaKyung Shin",2,2,100%,"jakyung-shin-standalone-silver-tableware","5Nnn2PqcEKG4dqRP9jCDdK"
"Standalone","JaKyung Shin",2,2,100%,"jakyung-shin-standalone-silver-tableware-jakyung-shin-wmzwbX","MnHq3gipaho0Iv07wmzwbX"
"Twinspoon","JaKyung Shin",2,2,100%,"jakyung-shin-twinspoons-02-silver-tableware","5Nnn2PqcEKG4dqRP9jCDhy"
"Twinspoon, 2015","JaKyung Shin",2,2,100%,"jakyung-shin-twinspoons-02-silver-tableware-jakyung-shin-wmzwgc","MnHq3gipaho0Iv07wmzwgc"
"Bowls and dishes, 2013","Jeong Won Lee",2,2,100%,"jeon-won-lee-bowl-white-porcelain-wheel-throwing-transparent-glaze-1280-degrees-reduction-firing-2013","MnHq3gipaho0Iv07wn07fQ"
"Cup series, 2013","Jeong Won Lee",2,2,100%,"jeong-won-lee-cup-series-white-porcelain-slip-casting-transparent-glaze-1280-degrees-oxidation-firing-various-sizes-2013","MnHq3gipaho0Iv07wn06vh"
"Cup series, 2013","Jeong Won Lee",2,2,100%,"jeong-won-lee-cup-series-white-porcelain-wheel-throwing-transparent-glaze-matt-glaze-1280-degrees-reduction-firing-2013","MnHq3gipaho0Iv07wn07QB"
"Cups, 2013","Jeong Won Lee",2,2,100%,"jeong-won-lee-cup-variation-white-porcelain-wheel-throwing-transparent-glaze-matt-glaze-1280-degrees-reduction-firing-2013","MnHq3gipaho0Iv07wn07aL"
"Dessert set, 2013","Jeong Won Lee",2,2,100%,"jeong-won-lee-dessert-set-white-porcelain-wheel-throwing-matt-glaze-1280-degrees-reduction-firing-30x18x9cm-2013","MnHq3gipaho0Iv07wn07VG"
"Line for Ellipse","Jeong Won Lee",2,2,100%,"jeong-won-lee-line-for-ellipse-white-porcelain-slip-casting-1280-degrees-reduction-firing-19x8x18cm-each-2014","MnHq3gipaho0Iv07wn06lX"
"Oval","Jeong Won Lee",2,2,100%,"jeong-won-lee-oval-series-white-porcelain-slip-casting-1280-degrees-oxidation-firing-22x12x22cm-11x22cm-2014","MnHq3gipaho0Iv07wn075r"
"Re-Formed","Jeong Won Lee",2,2,100%,"jeon-won-lee-re-formed-2014-marbling-series-white-porcelain-slip-casting-transparent-glaze-1280-degrees-oxidation-firing-polishing-9x18cm-each","MnHq3gipaho0Iv07wn070m"
"Re-Formed","Jeong Won Lee",2,2,100%,"jeong-won-lee-re-formed-2012-white-porcelain-pigment-slip-casting-1280-degrees-oxidation-firing-and-reduction-firing-polishing-11x22cm-each-2012","MnHq3gipaho0Iv07wn07Aw"
"Re-Formed","Jeong Won Lee",2,2,100%,"jeon-won-lee-re-formed-2013-white-porcelain-1280-degrees-reduction-firing-11x22cm-22013","MnHq3gipaho0Iv07wn07L6"
"Vessels, 2013","Jeong Won Lee",2,2,100%,"jeon-won-lee-white-porcelain-slip-casting-transparent-glaze-matt-glaze-1280-degrees-oxidation-and-reduction-firing-2013","5Nnn2PqcEKG4dqRP9jCUPq"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto-ring-schwarz","5Nnn2PqcEKG4dqRP9jCyXC"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto","5Nnn2PqcEKG4dqRP9jCybq"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto-blatt-art-ohrschmuck-schmuckdesign","5Nnn2PqcEKG4dqRP9jCygU"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto-ohrschmuck-silber-schmuckdesign","5Nnn2PqcEKG4dqRP9jCyl8"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto-ring-gold","5Nnn2PqcEKG4dqRP9jCypm"
"Blatt-Art","Johanna Otto",2,2,100%,"johanna-otto-blatt-art-collier-schmuckdesign","5Nnn2PqcEKG4dqRP9jCyuQ"
"Untitled","Johannes Nagel",2,2,100%,"johannes-nagel-gefaess-4","5Nnn2PqcEKG4dqRP9jClsA"
"Untitled","Johannes Nagel",2,2,100%,"johannes-nagel-gefaess-6","5Nnn2PqcEKG4dqRP9jClwo"
"Untitled","Johannes Nagel",2,2,100%,"johannes-nagel-gefaess-5","5Nnn2PqcEKG4dqRP9jCm1S"
"Untitled","Johannes Nagel",2,2,100%,"johannes-nagel-2-kunze-web","MnHq3gipaho0Iv07wn0ZHb"
"AMARANT CARPE CAVIAR","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-amarant-carpe-iii","MnHq3gipaho0Iv07wn0Ycx"
"AMARANT CARPE CAVIAR","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-amarant-carpe-i","MnHq3gipaho0Iv07wn0YsC"
"AMARANT CARPE GLACE","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-amarant-carpe-ii","MnHq3gipaho0Iv07wn0Yn7"
"Bracelet AMARANT BRAC","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-amarant-brac-i","MnHq3gipaho0Iv07wn0Yi2"
"FLUX AMBROSIA + FAGUS","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-flux-ii","MnHq3gipaho0Iv07wn0Z2M"
"FLUX PINUS + PICEA + ABIES","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-flux-iii","MnHq3gipaho0Iv07wn0Z7R"
"FLUX POACEAE","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-flux-poaceae-2","MnHq3gipaho0Iv07wn0YxH"
"NUANCE CLAIRE","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-nuance-claire-obscure-ii","MnHq3gipaho0Iv07wn0YDY"
"NUANCE OBSCURE","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-nuance-claire-obscure-iii","MnHq3gipaho0Iv07wn0Y8T"
"PNEU","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-pneu","MnHq3gipaho0Iv07wn0YXs"
"SAUTOIR BONBON LEVEL","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-bonbon-ebene","MnHq3gipaho0Iv07wn0Y3O"
"SAUTOIR BONBON OBSIDIAN","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-sautoir-bonbon-obsidian","MnHq3gipaho0Iv07wn0XyJ"
"TORTUE AGATE","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-tortue-agate","MnHq3gipaho0Iv07wn0YId"
"TORTUE OR CHATS","Julia Münzing",2,2,100%,"julia-muenzing-schmuckdesign-tortue-brocande","MnHq3gipaho0Iv07wn0YNi"
"...aus dem Feuer nehmen…","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-aus-dem-feuer-nehmen-anhaenger","5Nnn2PqcEKG4dqRP9jCvc2"
"...aus dem Feuer nehmen…","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-aus-dem-feuer-nehmen","5Nnn2PqcEKG4dqRP9jCvgg"
"DrückDich","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-mohn","5Nnn2PqcEKG4dqRP9jCvSk"
"DrückDich","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-kirschen-essen-im-gras","5Nnn2PqcEKG4dqRP9jCvXO"
"DrückDich","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-mohnblumenkapsel","5Nnn2PqcEKG4dqRP9jCvlK"
"Grasring Nr. 205","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-ag-rw","5Nnn2PqcEKG4dqRP9jCtDO"
"Grasringe","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-grasring-beschnitten","5Nnn2PqcEKG4dqRP9jCt46"
"Grasringe Nr. 217 und 218","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-grasringe-trauringe","5Nnn2PqcEKG4dqRP9jCtI2"
"Morsering -HERZEN-","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-herzen-sehen-gut-eindruck-durchbruch","5Nnn2PqcEKG4dqRP9jCvJS"
"Morsering -JETZT-","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-morseringe-durchbruch","5Nnn2PqcEKG4dqRP9jCv5W"
"Morsering -JETZT-","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-morseringe","5Nnn2PqcEKG4dqRP9jCvEo"
"Morsering, -JETZT-","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-morseringe-eindruck-silber","5Nnn2PqcEKG4dqRP9jCvAA"
"Morseringe","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-jean-jeanette","5Nnn2PqcEKG4dqRP9jCvO6"
"Pflasterringe","Kay Eppi Nölke",2,2,100%,"kay-eppi-noelke-pflasterringe-trauringe","5Nnn2PqcEKG4dqRP9jCv0s"
"Balance-Line","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-armreif-titanium","5Nnn2PqcEKG4dqRP9jCszS"
"CHANGING","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-changing-ring-silver","5Nnn2PqcEKG4dqRP9jCscE"
"FLAT","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-musubi-earrings-gold","5Nnn2PqcEKG4dqRP9jCsF0"
"HAMON","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-hamon-necklace-silver","5Nnn2PqcEKG4dqRP9jCsJe"
"KIKU","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-kiku-brooch","5Nnn2PqcEKG4dqRP9jCrwQ"
"KLANG","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-klang-earrings-gold-plated","5Nnn2PqcEKG4dqRP9jCsgs"
"KNOSPE","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-knospe-earrings-silver-topas","5Nnn2PqcEKG4dqRP9jCsuo"
"KREUZ","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-musubi-brooch-silver","5Nnn2PqcEKG4dqRP9jCs14"
"KULU","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-kulu-pendant-gold-plated","5Nnn2PqcEKG4dqRP9jCsqA"
"KUMI","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-musubi-earrings-silver","5Nnn2PqcEKG4dqRP9jCsAM"
"LOOP C-Shape","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-loop-kette-silber","5Nnn2PqcEKG4dqRP9jCslW"
"ORI-U2","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-ori-ring-silver","5Nnn2PqcEKG4dqRP9jCsXa"
"SPIRAL","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-spiral-brooch-silver","5Nnn2PqcEKG4dqRP9jCsOI"
"WAVE","Kazuko Nishibayashi",2,2,100%,"kazuko-nishibayashi-wave-ring-gold-silver","5Nnn2PqcEKG4dqRP9jCs5i"
"Mini whirl vessel","Koichi Io",2,2,100%,"koichi-io-whirl-vase","MnHq3gipaho0Iv07wmzsVV"
"Whirl Box","Koichi Io",2,2,100%,"koichi-io-whirl-box","MnHq3gipaho0Iv07wmzspp"
"Whirl Vessel VI","Koichi Io",2,2,100%,"koichi-io-whirl-vi-ii","MnHq3gipaho0Iv07wmzsGG"
"Whirl Vessel VI","Koichi Io",2,2,100%,"koichi-io-whirl-vi-1","MnHq3gipaho0Iv07wmzsLL"
"Whirl vessel X","Koichi Io",2,2,100%,"koichi-io-whirl-vessel-x","MnHq3gipaho0Iv07wmzsQQ"
"Fold","Leen Heyne",2,2,100%,"3-3","hEWOpVV05Nk2Wkv6vKsFiR"
"Fold","Leen Heyne",2,2,100%,"11","hEWOpVV05Nk2Wkv6vKsFmn"
"Loop","Leen Heyne",2,2,100%,"31","MnHq3gipaho0Iv07wmzq8A"
"Loop","Leen Heyne",2,2,100%,"30","MnHq3gipaho0Iv07wmzqDF"
"Twist","Leen Heyne",2,2,100%,"18","hEWOpVV05Nk2Wkv6vKsFVN"
"Twist","Leen Heyne",2,2,100%,"16","hEWOpVV05Nk2Wkv6vKsFZj"
"Wind","Leen Heyne",2,2,100%,"23","MnHq3gipaho0Iv07wmzqIK"
"Wind","Leen Heyne",2,2,100%,"22-xl","MnHq3gipaho0Iv07wmzqNP"
"Wind","Leen Heyne",2,2,100%,"21","MnHq3gipaho0Iv07wmzqSU"
"Lilies","Lut Laleman",2,2,100%,"lut-laleman-lilien","5Nnn2PqcEKG4dqRP9jCQaw"
"Contrast","Lyk Carpet",2,2,100%,"lyk-carpet-contrast-ganz","MnHq3gipaho0Iv07wn0IOz"
"coastel 2","Lyk Carpet",2,2,100%,"mareikelienau-lykcarpet-coastel-2","MnHq3gipaho0Iv07wn0IJu"
"come as you are","Lyk Carpet",2,2,100%,"mareikelienau-lykcarpet-come-as-you-are-sitzesemble-x-uniquefactory-berlin-1","MnHq3gipaho0Iv07wn0IEp"
"freeplay #2","Lyk Carpet",2,2,100%,"mareikelienau-lykcarpet-freeplay2","MnHq3gipaho0Iv07wn0Hza"
"freeplay #3","Lyk Carpet",2,2,100%,"mareikelienau-lykcarpet-freeplay3","MnHq3gipaho0Iv07wn0I4f"
"freeplay #5","Lyk Carpet",2,2,100%,"mareikelienau-lykcarpet-freeplay5","MnHq3gipaho0Iv07wn0I9k"
"lyk carpet x bauhaus # 2","Lyk Carpet",2,2,100%,"textile-poster-lyk-carpet-hommage-bauhaus-mareike-lienau","MnHq3gipaho0Iv07wn0KX5"
"lyk carpet x bauhaus # 3","Lyk Carpet",2,2,100%,"mareike-lienau-textile-poster-lyk-carpet-x-bauhaus","MnHq3gipaho0Iv07wn0KS0"
"lyk carpet x bauhaus # 4","Lyk Carpet",2,2,100%,"mareike-lienau-textile-poster-lyk-carpet-bauhaus-hommage","MnHq3gipaho0Iv07wn0IZ9"
"lyk carpet x bauhaus # 5","Lyk Carpet",2,2,100%,"textile-poster-lyk-carpet-no-5-bauhaus-mareike-lienau","MnHq3gipaho0Iv07wn0IU4"
"Bracelet","Martina Dempf",2,2,100%,"07-a-amboina-1b-bearbeitet","5Nnn2PqcEKG4dqRP9jBtKU"
"Dryade 1","Martina Dempf",2,2,100%,"martina-dempf-schmuck-dryaden","5Nnn2PqcEKG4dqRP9jBrJ4"
"Ellipses","Martina Dempf",2,2,100%,"martina-dempf-schmuck-armreife","5Nnn2PqcEKG4dqRP9jBrEQ"
"Eternal Wanderer","Martina Dempf",2,2,100%,"martina-dempf-anhaenger-foto-sebastian-ahlers","5Nnn2PqcEKG4dqRP9jBr0U"
"Homs","Martina Dempf",2,2,100%,"martina-dempf-anhaenger-homs","5Nnn2PqcEKG4dqRP9jBrgI"
"Origin 2","Martina Dempf",2,2,100%,"martina-dempf-schmuck-ursprung-2","5Nnn2PqcEKG4dqRP9jBrSM"
"Origin 3","Martina Dempf",2,2,100%,"martina-dempf-schmuck-ursprung-3","5Nnn2PqcEKG4dqRP9jBrNi"
"Palmyra","Martina Dempf",2,2,100%,"martina-dempf-brosche-palmyra","5Nnn2PqcEKG4dqRP9jBrbe"
"Symphony","Martina Dempf",2,2,100%,"martina-dempf-collier-brosche-foto-sebastian-ahlers","5Nnn2PqcEKG4dqRP9jBr58"
"Twister 2","Martina Dempf",2,2,100%,"martina-dempf-schmuck-twister","5Nnn2PqcEKG4dqRP9jBrX0"
"Blumentiere","Martina Ege",2,2,100%,"martina-ege-schmuckdesign-serie-blumentiere","hEWOpVV05Nk2Wkv6vKry5N"
"Blumentiere","Martina Ege",2,2,100%,"martina-ege-schmuckdesign-serie-blumentiere-ring","hEWOpVV05Nk2Wkv6vKry9j"
"Blumentiere","Martina Ege",2,2,100%,"martina-ege-collier-emailliert-schmuckdesign-blumentiere","hEWOpVV05Nk2Wkv6vKryE5"
"Blumentiere","Martina Ege",2,2,100%,"martina-ege-collier-emailliert-schmuckdesign-serie-blumentiere","hEWOpVV05Nk2Wkv6vKryIR"
