Creator,Creator ID,Title,Year,Media ID,Media Filename,Profile Filename,Match Type,Caption
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 1. © ATARA design.","","image-0c8a9f7811331f6cd785209370085072b83f03ba-1920x1300-jpg","58527_atara_heike-stuckstedde_light-trace-no1-ataradesign.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign.jpg","normalized","LIGHT\TRACE No. 1. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 1. © ATARA design.","","image-48c1b7ac6c5324102e636499c70d303ba61ac363-1920x1300-jpg","58525_atara_heike-stuckstedde_light-trace-no1-ataradesign_art-aurea.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No1-ATARAdesign_ART-AUREA.jpg","normalized","LIGHT\TRACE No. 1. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 1 & LIGHT\TRACE No. 8. © ATARA design.","","image-10d2127ca46621b653c6b7710f97103631f20d63-1920x1300-jpg","58545_atara_heike-stuckstedde_no-1_light-trace-no-8.jpg","ATARA_Heike-Stuckstedde_No-1_LIGHT-TRACE-No-8.jpg","normalized","LIGHT\TRACE No. 1 & LIGHT\TRACE No. 8. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 8. © ATARA design.","","image-7a2aba4d7798dc101a7c207c6fcadf1678894c14-1920x2506-jpg","58523_atara_heike-stuckstedde_light-trace-no-8_atara_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No-8_ATARA_design.jpg","normalized","LIGHT\TRACE No. 8. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 8. © ATARA design.","","image-31f0e2865e216ae8696503749ba71741ff8fba14-1920x2506-jpg","58535_atara_heike-stuckstedde_light-trace-no8_atara_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No8_ATARA_design.jpg","normalized","LIGHT\TRACE No. 8. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\SPOT No. 1. © ATARA design.","","image-9f3715fd5ff13ffcd7d123286ce2195c3de0b880-1920x2506-jpg","58521_atara_heike-stuckstedde_light-spot-no1_atara-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-SPOT-No1_ATARA-design.jpg","normalized","LIGHT\SPOT No. 1. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 7. © ATARA design.","","image-9463955c91c9ddca49efb3f6ebe1ee96ac4f35a1-1920x2506-jpg","58531_atara_heike-stuckstedde_light-trace-no7_atara_design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA_design.jpg","normalized","LIGHT\TRACE No. 7. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 7. © ATARA design.","","image-e179f37af1c41de3915f967c07c1af2af1a8ad3f-1920x2506-jpg","58533_atara_heike-stuckstedde_light-trace-no7_atara-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No7_ATARA-design.jpg","normalized","LIGHT\TRACE No. 7. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 2. © ATARA design.","","image-cc04614e9a9261d18bf27753775558dad19179d0-1920x1300-jpg","58540_atara_heike-stuckstedde-light-trace-no-2_atara-design.jpg","ATARA_Heike-Stuckstedde-LIGHT-TRACE-No-2_ATARA-design.jpg","normalized","LIGHT\TRACE No. 2. © ATARA design."
"ATARA design / Heike Stuckstedde","","LIGHT\TRACE No. 2. © ATARA design.","","image-956f52a6c593601c1f73776a4f749cb967065ef2-1920x1300-jpg","58529_atara_heike-stuckstedde_light-trace-no2_atara-design.jpg","ATARA_Heike-Stuckstedde_LIGHT-TRACE-No2_ATARA-design.jpg","normalized","LIGHT\TRACE No. 2. © ATARA design."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","DUOTONE Vase, schwarz und weiß, 2024. Steinzeug, innen glasiert.","2024","image-acac034fbb4c9cb60765c4819ab0fb0675384300-1493x1493-jpg","Atelier-von-Ehren_DUOTONE-Vasetest.jpg","Atelier-von-Ehren_DUOTONE-2-Atelier-von-Ehren-BarbaraJenner-2024.jpg","fuzzy","DUOTONE Vase, schwarz und weiß, 2024. Steinzeug, innen glasiert. 24 x 24 x 30 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","DUOTONE Vase, schwarz und weiß, mit rundem Boden und geometrischer Form darüber.","","image-acac034fbb4c9cb60765c4819ab0fb0675384300-1493x1493-jpg","Atelier-von-Ehren_DUOTONE-Vasetest.jpg","Atelier-von-Ehren_Black-and-white-DUOTONE-Atelier-von-Ehren-24.jpg","fuzzy","DUOTONE Vase, schwarz und weiß, mit rundem Boden und geometrischer Form darüber. 17 x 16 x 33 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","DUOTONE Vase, schwarz und weiß, 2022. Steinzeug, innen glasiert.","2022","image-acac034fbb4c9cb60765c4819ab0fb0675384300-1493x1493-jpg","Atelier-von-Ehren_DUOTONE-Vasetest.jpg","Atelier-von-Ehren_DUOTONE-Vase.jpg","fuzzy","DUOTONE Vase, schwarz und weiß, 2022. Steinzeug, innen glasiert. 22 x 22 x 27 cm."
"Friedrich Becker","3a6a2338-2e4a-4076-a4d2-b14c88aea41c","Kinetic Ring","","image-0967b78f31b8c7f4bcd2e4e86a8416aaf8e51bea-768x520-jpg","3317_friedrich-becker-kinetic-ring.jpg","friedrich-becker-kinetic-ring-1.jpg","fuzzy","Kinetic Ring"
"Friedrich Becker","3a6a2338-2e4a-4076-a4d2-b14c88aea41c","Friedrich Becker, Anstecknadel","","image-e93342cad7137da61eef1a8472ed5f1d6ac5e314-1920x1260-jpg","3313_friedrich-becker-anstecknadel.jpg","friedrich-becker-anstecknadel.jpg","normalized","Friedrich Becker, Anstecknadel"
"Friedrich Becker","3a6a2338-2e4a-4076-a4d2-b14c88aea41c","Brosche","","image-ccaf6bedee10439c0c7ea1a9f80dc1388bbf2f68-1920x1260-jpg","3315_friedrich-becker-ansteckschmuck.jpg","friedrich-becker-ansteckschmuck.jpg","normalized","Brosche"
"Friedrich Becker","3a6a2338-2e4a-4076-a4d2-b14c88aea41c","Ring","","image-c81bd448e3efb6930022ba462b6d70db4c89ace8-1920x1260-jpg","3319_friedrich-becker-ring.jpg","friedrich-becker-ring.jpg","normalized","Ring"
"Sofia Beilharz","","Anhänger GAP, 2021. Silber oder 18ct Gold plattiert. Photo kleine Rückblende.","2021","image-0c8e87c820e79cba53d192ca527e31f6e2875bcf-1920x1300-jpg","59402_sofia-beilharz_anhaenger-gap_2021_silber-oder-18ct-gold-plattiert_schmuckdesign-2.jpg","Sofia-Beilharz_Anhaenger-GAP_2021_Silber-oder-18ct-Gold-plattiert_Schmuckdesign-1.jpg","fuzzy","Anhänger GAP, 2021. Silber oder 18ct Gold plattiert. Photo kleine Rückblende."
"Sofia Beilharz","","Ohrschmuck GAP, 2019. Silber oder 18ct Gold plattiert. Photo kleine Rückblende.","2019","image-5a3d06f199a904e19117b4476876bacdf4bbe12b-1920x1300-jpg","56956_sofia-beilharz_gap-ohrstecker_foto-kleine-rueckblende.jpg","Sofia-Beilharz_GAP-Ohrstecker_Foto-kleine-Rueckblende.jpg","normalized","Ohrschmuck GAP, 2019. Silber oder 18ct Gold plattiert. Photo kleine Rückblende."
"Sofia Beilharz","","Ohrschmuck GAP, 2019. Silber oder 18ct Gold plattiert. Photo kleine Rückblende.","2019","image-1be2e7e77cb2114907612d1ce52ea0d5caa3c543-1920x1300-jpg","56958_sofia-beilharz_gap-ohrstecker_schmuckdesign_foto-kleine-rueckblende.jpg","Sofia-Beilharz_GAP-Ohrstecker_Schmuckdesign_Foto-kleine-Rueckblende.jpg","normalized","Ohrschmuck GAP, 2019. Silber oder 18ct Gold plattiert. Photo kleine Rückblende."
"Sofia Beilharz","","Armreif SAZ. Silber. Photo kleine Rückblende.","","image-1be2e7e77cb2114907612d1ce52ea0d5caa3c543-1920x1300-jpg","56958_sofia-beilharz_gap-ohrstecker_schmuckdesign_foto-kleine-rueckblende.jpg","Sofia-Beilharz_Armreif-SAZ_Schmuckdesign-1.jpg","fuzzy","Armreif SAZ. Silber. Photo kleine Rückblende."
"Sofia Beilharz","","Ringe SAZ. Silber. Photo kleine Rückblende.","","image-c638cdbb8baa9fa9f7fe6d9dad03049454f3678d-1920x1300-jpg","59398_sofia-beilharz_ringe-men-silber-saz_schmuckdesign-2.jpg","Sofia-Beilharz_ringe-men-silber-SAZ_Schmuckdesign-2.jpg","normalized","Ringe SAZ. Silber. Photo kleine Rückblende."
"Sofia Beilharz","","Manschettenknöpfe SAZ. Silber. Photo kleine Rückblende.","","image-1be2e7e77cb2114907612d1ce52ea0d5caa3c543-1920x1300-jpg","56958_sofia-beilharz_gap-ohrstecker_schmuckdesign_foto-kleine-rueckblende.jpg","Sofia-Beilharz_Manschettenknoepfe-SAZ_Schmuckdesign-1.jpg","fuzzy","Manschettenknöpfe SAZ. Silber. Photo kleine Rückblende."
"Sofia Beilharz","","Manschettenknöpfe und Ring SAZ. Photo kleine Rückblende.","","image-2f040543e1e2ee120866f5d114179292b9ea8eb2-1300x1816-jpg","59394_sofia-beilharz_ring_manschettenknoepfe_saz-2_72_schmuckdesign.jpg","Sofia-Beilharz_Ring_Manschettenknoepfe_SAZ-2_72_Schmuckdesign.jpg","normalized","Manschettenknöpfe und Ring SAZ. Photo kleine Rückblende."
"Sofia Beilharz","","Ohrstecker big disk. Silber, Seide. Photo kleine Rückblende.","","image-1be2e7e77cb2114907612d1ce52ea0d5caa3c543-1920x1300-jpg","56958_sofia-beilharz_gap-ohrstecker_schmuckdesign_foto-kleine-rueckblende.jpg","Sofia-Beilharz_ohrstecker-big-disk-schwarz-rot_Schmuckdesign-1.jpg","fuzzy","Ohrstecker big disk. Silber, Seide. Photo kleine Rückblende."
