Creator,Creator ID,Creator in Sanity,Title,Year,Image URL,Filename,Caption
"Sabine Müller","","No","Ohrhänger Kaviar. Silber goldplattiert, Zuchtperle, 460 €.","","https://artaurea.de/wp-content/uploads/2014/10/Sabine-Müller-4.kav_.gold_.jpg","Sabine-Müller-4.kav_.gold_.jpg","Ohrhänger Kaviar. Silber goldplattiert, Zuchtperle, 460 €."
"Sabine Müller","","No","Ohrhänger Edelbecherlinge. Silber goldplattiert, Kunststoff, 390 €.","","https://artaurea.de/wp-content/uploads/2014/10/Sabine-Müller-5.sb_.gold_.oliv_.jpg","Sabine-Müller-5.sb_.gold_.oliv_.jpg","Ohrhänger Edelbecherlinge. Silber goldplattiert, Kunststoff, 390 €."
"Sabine Müller","","No","Halskette boxes. Silber geschwärzt, Lemoncitrin, 880 €.","","https://artaurea.de/wp-content/uploads/2014/10/Sabine-Müller-6.boxes_.anh_.lem_.jpg","Sabine-Müller-6.boxes_.anh_.lem_.jpg","Halskette boxes. Silber geschwärzt, Lemoncitrin, 880 €."
"Sabine Müller","","No","Halskette boxes. Silber geschwärzt, 430 €.","","https://artaurea.de/wp-content/uploads/2014/10/Sabine-Müller-7.boxes_.anh_.black_.jpg","Sabine-Müller-7.boxes_.anh_.black_.jpg","Halskette boxes. Silber geschwärzt, 430 €."
"Jutta Müntefering","","No","Origami-Lampenschirm Facing the Moon XL (dem Mond begegnen). Papier","","https://artaurea.de/wp-content/uploads/2015/06/Facing-the-MoonXL1.jpg","Facing-the-MoonXL1.jpg","Origami-Lampenschirm Facing the Moon XL (dem Mond begegnen). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Facing the Moon XL (dem Mond begegnen). Papier","","https://artaurea.de/wp-content/uploads/2015/06/Facing-the-MoonXL2.jpg","Facing-the-MoonXL2.jpg","Origami-Lampenschirm Facing the Moon XL (dem Mond begegnen). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Heaven knows (weiß der Himmel). Papier","","https://artaurea.de/wp-content/uploads/2015/06/Heaven-knows1.jpg","Heaven-knows1.jpg","Origami-Lampenschirm Heaven knows (weiß der Himmel). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Heaven knows (weiß der Himmel). Papier","","https://artaurea.de/wp-content/uploads/2015/06/Heaven-knows2.jpg","Heaven-knows2.jpg","Origami-Lampenschirm Heaven knows (weiß der Himmel). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Snowdrop XL (Schneetropfen). Papier","","https://artaurea.de/wp-content/uploads/2015/06/SnowdropXL1.jpg","SnowdropXL1.jpg","Origami-Lampenschirm Snowdrop XL (Schneetropfen). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Snowdrop XL (Schneetropfen). Papier","","https://artaurea.de/wp-content/uploads/2015/06/SnowdropXL3.jpg","SnowdropXL3.jpg","Origami-Lampenschirm Snowdrop XL (Schneetropfen). Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Spherica. Papier","","https://artaurea.de/wp-content/uploads/2015/06/Spherica1.jpg","Spherica1.jpg","Origami-Lampenschirm Spherica. Papier"
"Jutta Müntefering","","No","Origami-Lampenschirm Spherica. Papier","","https://artaurea.de/wp-content/uploads/2015/06/Spherica3.jpg","Spherica3.jpg","Origami-Lampenschirm Spherica. Papier"
"Julia Münzing, Schmuque","","No","Kette SAUTOIR BONBON OBSIDIAN. Obsidianperlen, durchgefärbte grünschwarze Porzellanschliesse mit Edelstahlwechselmechanik.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_SAUTOIR-BONBON-OBSIDIAN.jpg","Julia-Muenzing_Schmuckdesign_SAUTOIR-BONBON-OBSIDIAN.jpg","Kette SAUTOIR BONBON OBSIDIAN. Obsidianperlen, durchgefärbte grünschwarze Porzellanschliesse mit Edelstahlwechselmechanik."
"Julia Münzing, Schmuque","","No","Kette NUANCE OBSCURE. Polyolefin, chinesische Zuchtperlen, Porzellansteckschliesse und Eisenoxid.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_NUANCE-CLAIRE-OBSCURE-III.jpg","Julia-Muenzing_Schmuckdesign_NUANCE-CLAIRE-OBSCURE-III.jpg","Kette NUANCE OBSCURE. Polyolefin, chinesische Zuchtperlen, Porzellansteckschliesse und Eisenoxid."
"Julia Münzing, Schmuque","","No","Kette NUANCE CLAIRE. Polyolefin, chinesische Zuchtperlen, Porzellansteckschliesse.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_NUANCE-CLAIRE-OBSCURE-II.jpg","Julia-Muenzing_Schmuckdesign_NUANCE-CLAIRE-OBSCURE-II.jpg","Kette NUANCE CLAIRE. Polyolefin, chinesische Zuchtperlen, Porzellansteckschliesse."
"Julia Münzing, Schmuque","","No","Kette TORTUE AGATE. Achatpolyeder, Ebenholzperlen, Porzellansteckschliesse mit Eisenoxid.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_TORTUE-AGATE.jpg","Julia-Muenzing_Schmuckdesign_TORTUE-AGATE.jpg","Kette TORTUE AGATE. Achatpolyeder, Ebenholzperlen, Porzellansteckschliesse mit Eisenoxid."
"Julia Münzing, Schmuque","","No","Kette TORTUE OR CHATS. Pyrit, historische Bakelitperlen, Steinzeugsteckschliesse.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_TORTUE-BROCANDE.jpg","Julia-Muenzing_Schmuckdesign_TORTUE-BROCANDE.jpg","Kette TORTUE OR CHATS. Pyrit, historische Bakelitperlen, Steinzeugsteckschliesse."
"Julia Münzing, Schmuque","","No","Kette TORTUE CORAL. Schaumkoralle, Porzellansteckschliesse.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_TORTUE-CORAL.jpg","Julia-Muenzing_Schmuckdesign_TORTUE-CORAL.jpg","Kette TORTUE CORAL. Schaumkoralle, Porzellansteckschliesse."
"Julia Münzing, Schmuque","","No","Ringe PNEU. Polyolefin verschiedene Farben, chinesische Zuchtperlen.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_PNEU.jpg","Julia-Muenzing_Schmuckdesign_PNEU.jpg","Ringe PNEU. Polyolefin verschiedene Farben, chinesische Zuchtperlen."
"Julia Münzing, Schmuque","","No","Kette / Armschmuck AMARANT CARPE CAVIAR. Polyamid, Hämatitperlen.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_AMARANT-CARPE-III.jpg","Julia-Muenzing_Schmuckdesign_AMARANT-CARPE-III.jpg","Kette / Armschmuck AMARANT CARPE CAVIAR. Polyamid, Hämatitperlen."
"Julia Münzing, Schmuque","","No","Armschmuck AMARANT BRAC. Edelstahlseil, Hämatitperlen.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_AMARANT-BRAC-I.jpg","Julia-Muenzing_Schmuckdesign_AMARANT-BRAC-I.jpg","Armschmuck AMARANT BRAC. Edelstahlseil, Hämatitperlen."
"Julia Münzing, Schmuque","","No","Kette AMARANT CARPE GLACE. Polyamid, Bergkristallperlen.","","https://artaurea.de/wp-content/uploads/2019/05/Julia-Muenzing_Schmuckdesign_AMARANT-CARPE-II.jpg","Julia-Muenzing_Schmuckdesign_AMARANT-CARPE-II.jpg","Kette AMARANT CARPE GLACE. Polyamid, Bergkristallperlen."
