Item ID,Name,Slug
"68ea75edd2f66f55fcf8fce8","Zirkonia","zirconia"
"68ea75edd2f66f55fcf8fce6","Garn","yarn"
"68ea75edd2f66f55fcf8fce4","Holz","wood"
"68ea75edd2f66f55fcf8fce2","Draht","wire"
"68ea75edd2f66f55fcf8fce0","Wachs","wax"
"68ea75edd2f66f55fcf8fcde","Nussbaum","walnut"
"68ea75edd2f66f55fcf8fcdc","Samt","velvet"
"68ea75edd2f66f55fcf8fcda","Türkis","turquoise"
"68ea75edd2f66f55fcf8fcd8","Titan","titanium"
"68ea75edd2f66f55fcf8fcd6","Stein","stone"
"68ea75edd2f66f55fcf8fcd4","Muschel","shell"
"68ea75edd2f66f55fcf8fcd2","Saphir","saphir"
"68ea75edd2f66f55fcf8fcd0","Sandstein","sandstone"
"68ea75edd2f66f55fcf8fcce","Sand","sand"
"68ea75edd2f66f55fcf8fccc","Rubin","ruby"
"68ea75edd2f66f55fcf8fcca","Gummi","rubber"
"68ea75edd2f66f55fcf8fcc8","Rhodiniert","rhodium-plated"
"68ea75edd2f66f55fcf8fcc6","Harz","resin"
"68ea75edd2f66f55fcf8fcc4","Quarz","quartz"
"68ea75edd2f66f55fcf8fcc2","Gips","plaster"
"68ea75edd2f66f55fcf8fcc0","Kiefer","pine"
"68ea75edd2f66f55fcf8fcbe","Pigment","pigment"
"68ea75edd2f66f55fcf8fcbc","Papier","paper"
"68ea75edd2f66f55fcf8fcba","Palladium","palladium"
"68ea75edd2f66f55fcf8fcb8","Farbe","paint"
"68ea75edd2f66f55fcf8fcb6","Oxidiert","oxidized"
"68ea75edd2f66f55fcf8fcb4","Opal","opal"
"68ea75edd2f66f55fcf8fcb2","Onyx","onyx"
"68ea75edd2f66f55fcf8fcb0","Eiche","oak"
"68ea75edd2f66f55fcf8fcae","Metall","metal"
"68ea75edd2f66f55fcf8fcac","Merino","merino"
"68ea75edd2f66f55fcf8fcaa","Ahorn","maple"
"68ea75edd2f66f55fcf8fca8","Leinen","linen"
"68ea75edd2f66f55fcf8fca6","Kalkstein","limestone"
"68ea75edd2f66f55fcf8fca4","Leder","leather"
"68ea75edd2f66f55fcf8fca2","Labradorith","labradorite"
"68ea75edd2f66f55fcf8fca0","Jade","jade"
"68ea75edd2f66f55fcf8fc9e","Elfenbein","ivory"
"68ea75edd2f66f55fcf8fc9c","Eisen","iron"
"68ea75edd2f66f55fcf8fc9a","Graphit","graphite"
"68ea75edd2f66f55fcf8fc98","Granit","granite"
"68ea75edd2f66f55fcf8fc96","Granat","garnet"
"68ea75edd2f66f55fcf8fc94","Filz","felt"
"68ea75edd2f66f55fcf8fc92","Email","enamel"
"68ea75edd2f66f55fcf8fc90","Ebenholz","ebony"
"68ea75edd2f66f55fcf8fc8e","Erde","earth"
"68ea75edd2f66f55fcf8fc8c","Kristall","crystal"
"68ea75edd2f66f55fcf8fc8a","Baumwolle","cotton"
"68ea75edd2f66f55fcf8fc88","Kork","cork"
"68ea75edd2f66f55fcf8fc86","Cordovan-leder","cordovan-leather"
"68ea75edd2f66f55fcf8fc84","Beton","concrete"
"68ea75edd2f66f55fcf8fc82","Kohle","charcoal"
"68ea75edd2f66f55fcf8fc80","Kette","chain"
"68ea75edd2f66f55fcf8fc7e","Keramik","ceramic"
"68ea75edd2f66f55fcf8fc7c","Kaschmir","cashmere"
"68ea75edd2f66f55fcf8fc7a","Knochen","bone"
"68ea75edd2f66f55fcf8fc78","Birke","birch"
"68ea75edd2f66f55fcf8fc76","Bambus","bamboo"
"68ea75edd2f66f55fcf8fc74","Bernstein","amber"
"68ea75edd2f66f55fcf8fc72","Aluminium","aluminum"
"68ea75edd2f66f55fcf8fc70","Alpaka","alpaca"
"68ea75edd2f66f55fcf8fc6e","Legierung","alloy"
"68e23e1610c56332d9bb6547","Wolle","wool"
"68e23e1610c56332d9bb652c","Stahl","steel"
"68e23e1610c56332d9bb6529","Silber","silver"
"68e23e1610c56332d9bb6526","Seide","silk"
"68e23e1610c56332d9bb6509","Porzellan","porcelain"
"68e23e1610c56332d9bb6506","Platin","platinum"
"68e23e1610c56332d9bb6503","Kunststoff","plastic"
"68e23e1610c56332d9bb64f7","Perle","pearl"
"68e23e11f9e89c38f79ebb9d","Lack","lacquer"
"68e23e11f9e89c38f79ebb89","Gold","gold"
"68e23e11f9e89c38f79ebb86","Glas","glass"
"68e23e11f9e89c38f79ebb74","Diamant","diamond"
"68e23e11f9e89c38f79ebb66","Koralle","coral"
"68e23e11f9e89c38f79ebb63","Kupfer","copper"
"68e23e11f9e89c38f79ebb5d","Ton","clay"
"68e23e11f9e89c38f79ebb4e","Bronze","bronze"
"68e23e11f9e89c38f79ebb4b","Messing","brass"
"68e13fc91cf0203c9d411154","Acryl","acrylic"
