original_filename,name,method
"Bosna_Quilt_Werkstatt_Quilt_2014-12_Lucia_&_Safira_&_Hedija_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_007.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2018-74_Lucia_&_Vesna_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-16_Camila_Backside.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_002.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-14_Hedija_Backside.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2018-34_Lucia_&_Sada_Detail.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_Detail_005.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Sada_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Sada_002.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Sarajevo_Sevala_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Vesna_002.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Emina_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-19_Lucia_&_Sada_128x133cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_002.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna - Kunstvoll Frieden stiften.docx","Bosna Kunstvoll Frieden",file_pattern_b
"Bosna_Quilt_2020-42_ganz.jpg","Bosna Quilt",file_pattern_b
"Bosna Quilt Antworten[1].docx","Bosna Quilt Antworten",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-27_Lucia_&_Vesna_137x172cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Hedija_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2019-19_Lucia_&_Sada_128x133cm.psd","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Mirza_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Safira_&_Lucia_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Quilt_2020-08_Lucia_&_Mirza_K_82x108cm.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Sabina_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_2018-34_Sada_Ausschnitt_RGB.tif","Bosna Quilt",file_pattern_b
"Bosna_Quilt_Werkstatt_Gorazde_Team_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_Werkstatt_Bregenz_Lucia_001.jpg","Bosna Quilt Werkstatt",file_pattern_b
"Bosna_Quilt_2019-67_NEU_RGB.tif","Bosna Quilt",file_pattern_b
"Bosna Quilt BUs_Engl.docx","Bosna Quilt",file_pattern_b
"Shinichi Sawada.docx","Shinichi Sawada",file_pattern_b
"Shinichi Sawada, Ohne Titel (42), 2010-11, Keramik, Social Welfare Organisation Nakayoshi Fukushikai, Foto Andreas Pauly.jpg","Shinichi Sawada",file_pattern_b
"Ausstellungansicht-Shinichi-Sawada-2020-Bildarchiv-Georg-Kolbe-Museum-Foto-Enric-Duch (2).jpg","Ausstellungansicht Shinichi Sawada",file_pattern_b
"Shinichi-Sawada.pdf","Shinichi Sawada",file_pattern_b
"Shinichi Sawada.odt","Shinichi Sawada",file_pattern_b
"Shinichi Sawada.doc","Shinichi Sawada",file_pattern_b
"Detail-der-Ausstellungansicht-Shinichi-Sawada-2020-Bildarchiv-Georg-Kolbe-Museum-Foto-Enric-Duch_2.jpg","Ausstellungansicht Shinichi Sawada",file_pattern_b
"Shinichi Sawada, Ohne Titel (49), 2010-11, Keramik, Social Welfare Organisation Nakayoshi Fukushikai, Foto Andreas Pauly.jpg","Shinichi Sawada",file_pattern_b
