Filename,Size (KB),Size (bytes),Width,Height,Used In,Image ID,URL
"60064_art-aurea_neue-printausgabe_herbst-2022.jpg",89,91119,1920,1300,0,"image-02a16d055ba6acc4fed2b303f06e66389f4abb4f-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/02a16d055ba6acc4fed2b303f06e66389f4abb4f-1920x1300.jpg"
"58161_uli-biskup_schmuckdesign_bubbles_art-aurea.jpg",89,91125,1920,1300,0,"image-763eed20bc2682d78c7801225c6713f7f0763f49-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/763eed20bc2682d78c7801225c6713f7f0763f49-1920x1300.jpg"
"24867_bolea-leolux-b-v-belli-studio-for-design-3.jpg",89,91166,1920,1300,0,"image-2ff116a2253646a20775e70c2ccbf2700a94b141-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/2ff116a2253646a20775e70c2ccbf2700a94b141-1920x1300.jpg"
"AA56_CC_Zhao Jinyatest.jpg",89,91198,2000,2000,1,"image-fe4c8994300209d823eb777dd2ae6e1bdbd80d9f-2000x2000-jpg","https://cdn.sanity.io/images/b8bczekj/production/fe4c8994300209d823eb777dd2ae6e1bdbd80d9f-2000x2000.jpg"
"7821_nicole-schuster-ring-the-change.jpg",89,91212,1920,1260,0,"image-0da6db864b7fed37b30ede45349d712023518dee-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/0da6db864b7fed37b30ede45349d712023518dee-1920x1260.jpg"
"13382_waben_-schwarz1_robert-comploj-2.jpg",89,91240,800,1280,0,"image-63a57f6bb7d68243bce927ab7467ea3fcfa23365-800x1280-jpg","https://cdn.sanity.io/images/b8bczekj/production/63a57f6bb7d68243bce927ab7467ea3fcfa23365-800x1280.jpg"
"54325_eva-strepp_jewelry-design_swing_loop.jpg",89,91242,1920,1300,0,"image-67902056f119c71da2059ac1411e813762d4540a-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/67902056f119c71da2059ac1411e813762d4540a-1920x1300.jpg"
"20994_1416832006052sammlung-bollmann-mak-wien.jpg",89,91249,1300,1920,0,"image-214e9ab496c6bd28f52af8f6979f5e4828c80555-1300x1920-jpg","https://cdn.sanity.io/images/b8bczekj/production/214e9ab496c6bd28f52af8f6979f5e4828c80555-1300x1920.jpg"
"171_gahbler-2.jpg",89,91254,880,580,0,"image-ab38cc812ce374712d84bfad0f147274a1d90dc3-880x580-jpg","https://cdn.sanity.io/images/b8bczekj/production/ab38cc812ce374712d84bfad0f147274a1d90dc3-880x580.jpg"
"27443_eva-strepp_r_one_gruppe.jpg",89,91280,1920,1301,0,"image-9a5546687578dc06d63894116e0cc9f94a6af317-1920x1301-jpg","https://cdn.sanity.io/images/b8bczekj/production/9a5546687578dc06d63894116e0cc9f94a6af317-1920x1301.jpg"
"46625_stefanie-priessnitz-perlenreihenanhaenger.jpg",89,91296,1920,1260,0,"image-b932ce0953b1474e5a7f1c71d887f66ab7b4b612-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/b932ce0953b1474e5a7f1c71d887f66ab7b4b612-1920x1260.jpg"
"264_galaxie.jpg",89,91309,960,630,0,"image-76042c63d4af4db6d46713f5bd15b9e306b0f234-960x630-jpg","https://cdn.sanity.io/images/b8bczekj/production/76042c63d4af4db6d46713f5bd15b9e306b0f234-960x630.jpg"
"1152_claudia-hoppe-armreif-colorfield-schwarz-2.jpg",89,91336,1920,1260,0,"image-a7e1c344dfb405f3db24800410be1c7dfc3ce2cd-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/a7e1c344dfb405f3db24800410be1c7dfc3ce2cd-1920x1260.jpg"
"52546_claudia-biehne_porzellan_between-the-tides.jpg",89,91395,1920,1300,0,"image-329f7b46379846529b3caf1561a1664407c7f130-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/329f7b46379846529b3caf1561a1664407c7f130-1920x1300.jpg"
"57073_manu-schmuck_wechselkette_wechselschliesse.jpg",89,91400,1920,1300,0,"image-7de8f5324c4c4c960905f1a0afa5400cc98a5bab-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/7de8f5324c4c4c960905f1a0afa5400cc98a5bab-1920x1300.jpg"
"46239_ignasi-cavaller-tal20.jpg",89,91446,1920,1300,0,"image-befcd6da48a963a1d8fab705a2209da92f74d92e-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/befcd6da48a963a1d8fab705a2209da92f74d92e-1920x1300.jpg"
"58489_martina-ege__schmuckdesign_serie-blumentiere_ring.jpg",89,91447,1920,1300,1,"image-5c6eb81a6fe264824257626c225cb041146a4ff1-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/5c6eb81a6fe264824257626c225cb041146a4ff1-1920x1300.jpg"
"8854_josephine-lutzel-kugelkanne.jpg",89,91448,1260,853,0,"image-36c003fca3d910b2ceba1c3415e57d9d03418ae1-1260x853-jpg","https://cdn.sanity.io/images/b8bczekj/production/36c003fca3d910b2ceba1c3415e57d9d03418ae1-1260x853.jpg"
"695_adam-stoffel-ring-corona.jpg",89,91449,1920,1260,0,"image-6b43ceb84425161390411d37caf7ab48c5521146-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/6b43ceb84425161390411d37caf7ab48c5521146-1920x1260.jpg"
"59759_regina-rieber_schmuckreuchlin.jpg",89,91452,1920,1300,0,"image-4cf0d45ed259aa17393302dfbb34174ada4258bd-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/4cf0d45ed259aa17393302dfbb34174ada4258bd-1920x1300.jpg"
"20821_anna-sykora-1.jpg",89,91511,1920,1300,0,"image-443402be85303d273a2ecc1cbeabc874e2a07da4-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/443402be85303d273a2ecc1cbeabc874e2a07da4-1920x1300.jpg"
"19784_mindy-solomon-gallery.jpg",89,91553,420,280,0,"image-6fa9df2eddb4d9f9ada70a31a5c96cf5ac23a0a5-420x280-jpg","https://cdn.sanity.io/images/b8bczekj/production/6fa9df2eddb4d9f9ada70a31a5c96cf5ac23a0a5-420x280.jpg"
"47209_gemeentemuseum.jpg",89,91590,615,410,0,"image-7b80efc1a65751d82722bec72e53295d9c299836-615x410-jpg","https://cdn.sanity.io/images/b8bczekj/production/7b80efc1a65751d82722bec72e53295d9c299836-615x410.jpg"
"AA53_marion-Delaruetest.jpg",89,91610,765,765,1,"image-d248917713f0da2fc7d8d08faf633107251cc923-765x765-jpg","https://cdn.sanity.io/images/b8bczekj/production/d248917713f0da2fc7d8d08faf633107251cc923-765x765.jpg"
"58487_martina-ege__schmuckdesign_serie-blumentiere_ring-und-ohrstecker.jpg",89,91620,1920,1300,0,"image-73708b7c845a37db03a6eeadb216db8ae5ff5375-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/73708b7c845a37db03a6eeadb216db8ae5ff5375-1920x1300.jpg"
"51588_babelbike_crispin_sinclair_innovation_gb.jpg",90,91670,1920,1080,0,"image-41d5b07387ccb055fb52c589f58c35f93a18f5b3-1920x1080-jpg","https://cdn.sanity.io/images/b8bczekj/production/41d5b07387ccb055fb52c589f58c35f93a18f5b3-1920x1080.jpg"
"4893_andre-ribeiro-armreif-3.jpg",90,91676,1920,1260,0,"image-afab4fdef06dc0165cabc47db9d8389b59253f79-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/afab4fdef06dc0165cabc47db9d8389b59253f79-1920x1260.jpg"
"25592_mirjam-steiner-ohrenschmaus-2.jpg",90,91679,292,371,0,"image-624df91a66cf11320ca31e5e922edbeab777f6cf-292x371-jpg","https://cdn.sanity.io/images/b8bczekj/production/624df91a66cf11320ca31e5e922edbeab777f6cf-292x371.jpg"
"58095_nikolay-sardamov_earrings_intersections-6.jpg",90,91763,1920,1300,0,"image-00640f2d8659762fe0874c3fb22f41ea68b517ca-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/00640f2d8659762fe0874c3fb22f41ea68b517ca-1920x1300.jpg"
"4593_lehmann-schmedding-marilyn-gold.jpg",90,91788,1920,1260,0,"image-f5dcbdd682e627f627edf557b11a1fa3ba3bdeb9-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/f5dcbdd682e627f627edf557b11a1fa3ba3bdeb9-1920x1260.jpg"
"4106_nicole-schuster-the-highway.jpg",90,91851,1920,1260,0,"image-6743fb709f12d5a46fecaaf0d32c918ede3f2bb3-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/6743fb709f12d5a46fecaaf0d32c918ede3f2bb3-1920x1260.jpg"
"58491_martina-ege__schmuckdesign_serie-blumentiere.jpg",90,91874,1920,1300,1,"image-ce2eb78af691ee0dd4de062d1f80758b82c251d9-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/ce2eb78af691ee0dd4de062d1f80758b82c251d9-1920x1300.jpg"
"46283_claudiageiger_perlringe_weissgold-bearbeitet.jpg",90,91911,1920,1300,0,"image-4f7d8bf6c3bb94b809a64a695be2d02353e5d422-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/4f7d8bf6c3bb94b809a64a695be2d02353e5d422-1920x1300.jpg"
"20846_anna-sykora-vasen-sgraffitto.jpg",90,91920,1920,1260,0,"image-dc2940283a27c0068c596915a86241308b616b97-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/dc2940283a27c0068c596915a86241308b616b97-1920x1260.jpg"
"54723_nicole-walger_inhorgenta.jpg",90,91928,1920,1300,0,"image-e69c9b2de16b61b9d1c5c8d8352d6d311c525ee3-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/e69c9b2de16b61b9d1c5c8d8352d6d311c525ee3-1920x1300.jpg"
"27804_kang_kiho_bearbeitet1-2.jpg",90,91942,1978,1339,0,"image-423fb7dea514aa9fbab8672b45eb08a33560f343-1978x1339-jpg","https://cdn.sanity.io/images/b8bczekj/production/423fb7dea514aa9fbab8672b45eb08a33560f343-1978x1339.jpg"
"60842_grassi-museum_-fonduetoepfe-kobenstyle_entwurf-1954_jens-harald-quistgaard_dansk-designs.jpg",90,91966,1920,1300,0,"image-1e687a62c49bbb7dc18f4484a0ec1ad78a800637-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/1e687a62c49bbb7dc18f4484a0ec1ad78a800637-1920x1300.jpg"
"63061_galerie-schmagold_kirsten-wittstruck.jpg",90,91986,1920,2506,0,"image-849079be3bfd157a9bbbf5b328119e88e327c4e7-1920x2506-jpg","https://cdn.sanity.io/images/b8bczekj/production/849079be3bfd157a9bbbf5b328119e88e327c4e7-1920x2506.jpg"
"19308_officine-saffi-gallery.jpeg",90,92000,851,567,0,"image-997f6f7575e66a086fc2adfa3306c15b536ce616-851x567-jpg","https://cdn.sanity.io/images/b8bczekj/production/997f6f7575e66a086fc2adfa3306c15b536ce616-851x567.jpg"
"4607_antonio-bernardo-ring-solidos-4.jpg",90,92028,1920,1260,0,"image-b4353188fc8a070c296b1fedee27c72d9d9bc6ec-1920x1260-jpg","https://cdn.sanity.io/images/b8bczekj/production/b4353188fc8a070c296b1fedee27c72d9d9bc6ec-1920x1260.jpg"
"59624_renate-erlacher_schmuckdesign_brosche-2-2.jpg",90,92105,1920,1300,0,"image-020d552db268f1e2fcf9bf284b2373e495629d36-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/020d552db268f1e2fcf9bf284b2373e495629d36-1920x1300.jpg"
"54936_burggrafburggraf_reto_lightgrey.jpg",90,92135,1920,1300,1,"image-37abdebc19ecc6aaea36903dfee495b79b3e53ba-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/37abdebc19ecc6aaea36903dfee495b79b3e53ba-1920x1300.jpg"
"59572_ursula-scheid_gefaessform_galerie-metzger.jpg",90,92154,1920,1300,0,"image-4c5035a71c0fc476fba6a4afa1344f623d08de76-1920x1300-jpg","https://cdn.sanity.io/images/b8bczekj/production/4c5035a71c0fc476fba6a4afa1344f623d08de76-1920x1300.jpg"
