Creator,Creator ID,Creator in Sanity,Title,Year,Image URL,Filename,Caption
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Vasen und Gefäße. Ausstellung im Kunsthaus Weiz, 2022, Österreich.","2022","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Vasen-und-Gefaesse-Ausstellung-Kunsthaus-Weiz-2022.jpg","Atelier-von-Ehren_Vasen-und-Gefaesse-Ausstellung-Kunsthaus-Weiz-2022.jpg","Vasen und Gefäße. Ausstellung im Kunsthaus Weiz, 2022, Österreich."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","The Circle turns Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert, rosé,","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Pink-on-grey-Round-and-Round-Atelier-von-Ehren-24.jpg","Atelier-von-Ehren_Pink-on-grey-Round-and-Round-Atelier-von-Ehren-24.jpg","The Circle turns Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert, rosé, 10 x 10 x 26 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Soft Refrain, Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert, gelb auf grau,","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Yellow-on-grey-Round-and-Round-Atelier-von-Ehren-24.jpg","Atelier-von-Ehren_Yellow-on-grey-Round-and-Round-Atelier-von-Ehren-24.jpg","Soft Refrain, Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert, gelb auf grau, 15 x 15 x 22 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","And go round again, Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert,","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_ROUNDandROUND-BArbara-Jenner-2024-Atelier-von-Ehren.jpg","Atelier-von-Ehren_ROUNDandROUND-BArbara-Jenner-2024-Atelier-von-Ehren.jpg","And go round again, Vase aus der Serie Round & Round, 2024. Steinzeug, glasiert, 11 x 11 x 33 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Off-Beat Vase aus der Serie Round & Round, 2024, blau auf grau. Steinzeug glasiert,","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Blue-on-grey-RoundandRound-AteliervonEhren-24.jpg","Atelier-von-Ehren_Blue-on-grey-RoundandRound-AteliervonEhren-24.jpg","Off-Beat Vase aus der Serie Round & Round, 2024, blau auf grau. Steinzeug glasiert, 15 x 15 x 34 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Arbeiten aus der Serie Luft und Lilie (Diffuser und Vasen), 2022, Kunsthaus Weiz, Österreich.","2022","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Ausstellung-Kunsthaus-WEiz-2022-Barbara-Jenner-Luft-und-Lilie.jpg","Atelier-von-Ehren_Ausstellung-Kunsthaus-WEiz-2022-Barbara-Jenner-Luft-und-Lilie.jpg","Arbeiten aus der Serie Luft und Lilie (Diffuser und Vasen), 2022, Kunsthaus Weiz, Österreich."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Dancing Edge Vase aus der Serie Figures, 2024. Steinzeug glasiert, gelb.","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Gelb-auf-weiss-FIGURES-Atelier-von-Ehren-BarbaraJenner-2024.jpg","Atelier-von-Ehren_Gelb-auf-weiss-FIGURES-Atelier-von-Ehren-BarbaraJenner-2024.jpg","Dancing Edge Vase aus der Serie Figures, 2024. Steinzeug glasiert, gelb. 17 x 16 x 23,5 cm."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","OMARU, Pflanzgefäß, weiß-rosé, 2024. Selbstbewässernd, Steinzeug glasiert, leicht rosa,","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Selbstbewaessernder-Blumentopf-leicht-rosa.jpg","Atelier-von-Ehren_Selbstbewaessernder-Blumentopf-leicht-rosa.jpg","OMARU, Pflanzgefäß, weiß-rosé, 2024. Selbstbewässernd, Steinzeug glasiert, leicht rosa, 16 x 16 x 32 cm, zweiteilig."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Pfanzgefäße, 2023-25. Verschiedene Größen. Drift & Drawn, Installation im FORA Lindenpalais, Berlin, 2025.","2023","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Drift-Drawn-Installation-at-FORA-Lindenpalais.jpg","Atelier-von-Ehren_Drift-Drawn-Installation-at-FORA-Lindenpalais.jpg","Pfanzgefäße, 2023-25. Verschiedene Größen. Drift & Drawn, Installation im FORA Lindenpalais, Berlin, 2025."
"Atelier von Ehren","c5d5d79c-2f80-4925-8de0-e53fde6553b7","Yes","Ayla, gelb, und Omaru, leicht rosa, Pflanzgefäße, 2024. Selbstbewässernd, verschiedene Größen.","2024","https://artaurea.de/wp-content/uploads/2025/08/Atelier-von-Ehren_Selbstbewaessernde-Blumentoepfe.jpg","Atelier-von-Ehren_Selbstbewaessernde-Blumentoepfe.jpg","Ayla, gelb, und Omaru, leicht rosa, Pflanzgefäße, 2024. Selbstbewässernd, verschiedene Größen."
